code,province_code,name,latitude,longitude
1201,12,"Kab. Tapanuli Tengah",1.835979956679,98.653715188933
1202,12,"Kab. Tapanuli Utara",2.0011912339799,99.06507731612
1203,12,"Kab. Tapanuli Selatan",1.5006198551726,99.266957578218
1204,12,"Kab. Nias",1.0698649664707,97.724592943965
1205,12,"Kab. Langkat",3.7087596198206,98.223669882661
1206,12,"Kab. Karo",3.1184351053911,98.301356351699
1207,12,"Kab. Deli Serdang",3.4803374772811,98.694832630665
1208,12,"Kab. Simalungun",2.9696967366688,99.021558395556
1209,12,"Kab. Asahan",2.8049256994602,99.559360270341
1210,12,"Kab. Labuhanbatu",2.2856237163202,100.06158839131
1211,12,"Kab. Dairi",2.8405070439466,98.279213384168
1212,12,"Kab. Toba",2.388958212256,99.247568720479
1213,12,"Kab. Mandailing Natal",0.77639787276544,99.368671736483
1214,12,"Kab. Nias Selatan",0.32931115190127,98.098897730388
1215,12,"Kab. Pakpak Bharat",2.5494123347678,98.243057239737
1216,12,"Kab. Humbang Hasundutan",2.2611646493159,98.577712662027
1217,12,"Kab. Samosir",2.5622823552963,98.728959950528
1218,12,"Kab. Serdang Bedagai",3.3662576773907,99.057708155393
1219,12,"Kab. Batu Bara",3.2352494055207,99.472559161102
1220,12,"Kab. Padang Lawas Utara",1.5909009124787,99.762959228973
1221,12,"Kab. Padang Lawas",1.1422544668872,99.851205458474
1222,12,"Kab. Labuhanbatu Selatan",1.8419367580522,100.1400176231
1223,12,"Kab. Labuhanbatu Utara",2.4109942756826,99.757800257113
1224,12,"Kab. Nias Utara",1.3149605689277,97.355402872527
1225,12,"Kab. Nias Barat",1.0306830110725,97.491192005251
1271,12,"Kota Medan",3.6290409245215,98.667195922148
1272,12,"Kota Pematangsiantar",2.961417574956,99.059033813279
1273,12,"Kota Sibolga",1.7425497688314,98.789304275262
1274,12,"Kota Tanjung Balai",2.9639955561588,99.794725086609
1275,12,"Kota Binjai",3.6002270139059,98.489219352907
1276,12,"Kota Tebing Tinggi",3.3282698019426,99.156030854679
1277,12,"Kota Padangsidimpuan",1.3908149785976,99.285693999763
1278,12,"Kota Gunungsitoli",1.2685290120497,97.586684780342
