code,regency_code,province_code,name,latitude,longitude
120101,1201,12,Barus,2.0220178476436,98.410014732967
120102,1201,12,Sorkam,1.9200753631199,98.639855093864
120103,1201,12,Pandan,1.691858511953,98.842367414481
120104,1201,12,Pinangsori,1.5475757741204,98.880052057426
120105,1201,12,Manduamas,2.1792521070758,98.226420669465
120106,1201,12,Kolang,1.8721887210475,98.707645641204
120107,1201,12,"Tapian Nauli",1.7137065016935,98.627286125101
120108,1201,12,Sibabangun,1.5800131574734,98.998403172298
120109,1201,12,Sosorgadong,2.0162144420524,98.527059636268
120110,1201,12,"Sorkam Barat",1.9200248898329,98.563519159036
120111,1201,12,Sirandorung,2.107928560137,98.325768365929
120112,1201,12,"Andam Dewi",2.0696048122315,98.404838232894
120113,1201,12,Sitahuis,1.8116509549269,98.807991853481
120114,1201,12,Tukka,1.698068058202,98.915628397153
120115,1201,12,Badiri,1.5751192460606,98.832339149409
120116,1201,12,"Pasaribu Tobing",1.9802953134691,98.620215618605
120117,1201,12,"Barus Utara",2.0512811648306,98.437238392839
120118,1201,12,"Suka Bangun",1.4548597959365,98.924888134789
120119,1201,12,Lumut,1.5049982402748,98.886344675155
120120,1201,12,Sarudik,1.7384141254199,98.831998913404
120201,1202,12,Tarutung,2.0277323024362,98.98101353323
120202,1202,12,"Siatas Barita",2.0057583007599,99.039669933891
120203,1202,12,"Adian Koting",1.87539970151,98.907519606599
120204,1202,12,Sipoholon,2.0647028509408,98.916676057495
120205,1202,12,"Pahae Julu",1.8816864036908,99.054549108211
120206,1202,12,"Pahae Jae",1.8202771701165,99.12133611457
120207,1202,12,Simangumban,1.7714043523993,99.204680552836
120208,1202,12,"Purba Tua",1.7239917336322,99.062468514449
120209,1202,12,Siborong-Borong,2.2203399944764,99.038635326571
120210,1202,12,Pagaran,2.1839741224991,98.881627617754
120211,1202,12,Parmonangan,2.0545171724785,98.785321314715
120212,1202,12,Sipahutar,2.1327038845627,99.133574791937
120213,1202,12,Pangaribuan,1.9544159665879,99.204431108971
120214,1202,12,Garoga,2.0288491236232,99.352825147514
120215,1202,12,Muara,2.3514998200104,98.932630415746
120301,1203,12,"Angkola Barat",1.4183241799594,99.164949987414
120302,1203,12,"Batang Toru",1.5579412503578,99.08713980342
120303,1203,12,"Angkola Timur",1.4786000400347,99.327232043662
120304,1203,12,Sipirok,1.6006824909955,99.298427468884
120305,1203,12,"Saipar Dolok Hole",1.8126023032531,99.427961281844
120306,1203,12,"Angkola Selatan",1.2546208062214,99.152112625167
120307,1203,12,"Batang Angkola",1.2291473178308,99.283874215687
120314,1203,12,Arse,1.7024493307513,99.353733846881
120320,1203,12,Marancar,1.5105951744879,99.173060088049
120321,1203,12,"Sayur Matinggi",1.142825413133,99.348260080156
120322,1203,12,"Aek Bilah",1.9806819590099,99.510562578426
120329,1203,12,"Muara Batang Toru",1.3859527590209,98.905119371454
120330,1203,12,"Tano Tombangan Angkola",1.0510534371602,99.389894710294
120331,1203,12,"Angkola Sangkunur",1.3719016971292,99.040228059176
120332,1203,12,"Angkola Muara Tais",1.3086585917898,99.302181800152
120405,1204,12,Hiliduho,1.2389361395092,97.525255748944
120406,1204,12,Gido,1.1233398422368,97.727024781737
120410,1204,12,Idanogawo,1.0441096126115,97.789004258462
120411,1204,12,Bawolato,0.97842302667765,97.866532938724
120420,1204,12,Hiliserangkai,1.150528017212,97.604563397555
120421,1204,12,Botomuzoi,1.1706610842053,97.539694127887
120427,1204,12,Ulugawo,0.97646428917158,97.723898333478
120428,1204,12,Ma'u,1.0610013637046,97.643290426383
120429,1204,12,Somolo-molo,1.0328822209691,97.678853798547
120435,1204,12,Sogae'adu,1.0788621363004,97.74176984431
120501,1205,12,Bahorok,3.4739489335839,98.089800439216
120502,1205,12,Salapian,3.4248169325475,98.316380117011
120503,1205,12,Kuala,3.4642681524242,98.386109315656
120504,1205,12,"Sei Bingai",3.382544173819,98.454728010567
120505,1205,12,Binjai,3.6639929397386,98.459359564763
120506,1205,12,Selesai,3.6137483219162,98.400285228281
120507,1205,12,Stabat,3.7335681888019,98.461347787337
120508,1205,12,Wampu,3.6978770752137,98.331123567138
120509,1205,12,Secanggang,3.86404674017,98.542791427532
120510,1205,12,Hinai,3.8332889332273,98.428508273207
120511,1205,12,"Tanjung Pura",3.9607814507644,98.476279105397
