code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1604212003,160421,1604,16,"Tanjung Karangan",,,null
1604222011,160422,1604,16,"Siring Agung",,,null
1604222014,160422,1604,16,"Germidar Ilir",,,null
1604262005,160426,1604,16,"Tanjung Beringin",,,null
1604272002,160427,1604,16,"Tanjung Kurung Ulu",,,null
1604272012,160427,1604,16,"Muara Danau",,,null
1604292010,160429,1604,16,"Tanjung Agung",,,null
1604312009,160431,1604,16,"Talang Sawah",,,null
1605011001,160501,1605,16,"B. Srikaton",,,null
1605032014,160503,1605,16,"Lubuk Tua",,,null
1605032027,160503,1605,16,"Temuan Sari",,,null
1605092004,160509,1605,16,"Mana Resmi",,,null
1605182001,160518,1605,16,"Lubuk Besar",,,null
1605202006,160520,1605,16,Remayu,,,null
1606072007,160607,1606,16,"Sri Gunung",,,null
1606091016,160609,1606,16,"Bayung Lencir",,,null
1606092007,160609,1606,16,Mangsang,,,null
1606112002,160611,1606,16,"Karang Rejo",,,null
1606122009,160612,1606,16,"Banjar Jaya",,,null
1606142001,160614,1606,16,"Suka Maju",,,null
1606142014,160614,1606,16,"Seratus Lapan",,,null
1607032006,160703,1607,16,Langkan,,,null
1607082028,160708,1607,16,"Upang Cemara",,,null
1607092008,160709,1607,16,"Tirta Kencana",,,null
1607112004,160711,1607,16,"Rantau Bayur",,,null
1607122013,160712,1607,16,"Muara Sugih",,,null
1607132010,160713,1607,16,"Tirta Harjo",,,null
1607132022,160713,1607,16,"Sido Makmur",,,null
1607142011,160714,1607,16,"Saleh Mukti",,,null
1607142014,160714,1607,16,"Upang Marga",,,null
1607152015,160715,1607,16,"Suka Jaya",,,null
1607162002,160716,1607,16,"Durian Daun",,,null
1607162007,160716,1607,16,Sedang,,,null
1607182010,160718,1607,16,"Sri Tiga",,,null
1607192007,160719,1607,16,Sebubus,,,null
1607212004,160721,1607,16,"Sumber Agung",,,null
1608022002,160802,1608,16,"Kurungan Nyawa",,,null
1608022004,160802,1608,16,"Sumber Agung",,,null
1608102001,160810,1608,16,Kutosari,,,null
1608102007,160810,1608,16,"Nusa Tenggara",,,null
1608102018,160810,1608,16,"Dadi Rejo",,,null
1608122029,160812,1608,16,"Berasan Mulya",,,null
1608132003,160813,1608,16,Surabaya,,,null
1608142003,160814,1608,16,"Tanjung Mas",,,null
1608152016,160815,1608,16,"Melati Agung",,,null
1608162008,160816,1608,16,Kambang,,,null
1608202003,160820,1608,16,"Pandan Sari III",,,null
1609052001,160905,1609,16,"Karang Agung",,,null
1609082002,160908,1609,16,"Teluk Agung",,,null
1609082013,160908,1609,16,Bunut,,,null
1609092010,160909,1609,16,"Kembang Tinggi",,,null
1609112007,160911,1609,16,"Muara Sindang",,,null
1609142002,160914,1609,16,"Tanjung Kurung",,,null
1609142004,160914,1609,16,Penanggungan,,,null
1610021017,161002,1610,16,"Tanjung Batu",,,null
1610032033,161003,1610,16,"Tanjung Harapan",,,null
1610052022,161005,1610,16,"Pemulutan Ilir",,,null
