code,province_code,name,latitude,longitude
6101,61,"Kab. Sambas",1.4230857823487,109.34956822008
6102,61,"Kab. Mempawah",0.35177711745461,109.15419102762
6103,61,"Kab. Sanggau",0.26868109656721,110.43072660297
6104,61,"Kab. Ketapang",-1.6329362773481,110.60543693031
6105,61,"Kab. Sintang",0.092595575041314,112.05439324662
6106,61,"Kab. Kapuas Hulu",0.82560136294356,112.80355038457
6107,61,"Kab. Bengkayang",1.0119529327336,109.57839986718
6108,61,"Kab. Landak",0.5076819153097,109.76407733028
6109,61,"Kab. Sekadau",-0.017136739390638,110.94892649828
6110,61,"Kab. Melawi",-0.6304366772343,111.72459705798
6111,61,"Kab. Kayong Utara",-1.1044317344796,109.87536018919
6112,61,"Kab. Kubu Raya",-0.39182681946736,109.54037439507
6171,61,"Kota Pontianak",-0.025780638413534,109.3316974691
6172,61,"Kota Singkawang",0.88665042908026,109.03227743445
