code,district_code,regency_code,province_code,name,postal_code
1501011004,150101,1501,15,"Lempur Tengah",37174
1501012001,150101,1501,15,"Selam Paung",37174
1501012002,150101,1501,15,"Air Mumu",37174
1501012003,150101,1501,15,"Lempur Mudik",37174
1501012005,150101,1501,15,Masgo,37174
1501012006,150101,1501,15,"Lempur Hilir",37174
1501012011,150101,1501,15,"Kebun Baru",37174
1501012012,150101,1501,15,"Perikan Tengah",37174
1501012013,150101,1501,15,"Dusun Baru Lempur",37174
1501012016,150101,1501,15,Sungaihangat,37174
1501012018,150101,1501,15,"Manjunto Lempur",37174
1501012019,150101,1501,15,"Kebun Lima",37174
1501022001,150102,1501,15,"Sanggaran Agung",37172
1501022002,150102,1501,15,"Kota Baru Sanggaran Agung",37172
1501022003,150102,1501,15,"Pendung Talang Genting",37172
1501022004,150102,1501,15,Seleman,37172
1501022005,150102,1501,15,"Tebing Tinggi",37172
1501022006,150102,1501,15,Cupak,37172
1501022007,150102,1501,15,Tanjungtanah,37172
1501022008,150102,1501,15,"Koto Tengah",37172
1501022013,150102,1501,15,"Simpang Empat",37172
1501022014,150102,1501,15,"Talang Kemulun",37172
1501022015,150102,1501,15,"Dusun Baru Tanjung Tanah",37172
1501022016,150102,1501,15,"Pasar Sore Seleman",37172
1501022018,150102,1501,15,Tanjungharapan,37172
1501042008,150104,1501,15,"Hiang Tinggi",37171
1501042009,150104,1501,15,"Ambai Atas",37171
1501042010,150104,1501,15,Tanjungmudo,37171
1501042011,150104,1501,15,"Pendung Tengah",37171
1501042012,150104,1501,15,"Pendung Hilir",37171
1501042013,150104,1501,15,"Koto Baru Hiang",37171
1501042014,150104,1501,15,"Betung Kuning",37171
1501042026,150104,1501,15,"Ambai Bawah",37171
1501042028,150104,1501,15,"Hiang Karya",37171
1501042029,150104,1501,15,"Hiang Lestari",37171
1501042030,150104,1501,15,"Angkasa Pura",37171
1501042031,150104,1501,15,"Hiang Sakti",37171
1501042033,150104,1501,15,"Koto Sekilan Ambai",37171
1501042034,150104,1501,15,"Penawar Tinggi",37171
1501052002,150105,1501,15,"Baru Semurup",37168
1501052004,150105,1501,15,"Koto Dua Lama",37168
1501052012,150105,1501,15,"Koto Di Air",37168
1501052013,150105,1501,15,"Pasar Semurup",37168
1501052014,150105,1501,15,Balai,37168
1501052015,150105,1501,15,"Koto Majidin Hilir",37168
