code,province_code,name,latitude,longitude
7201,72,"Kab. Banggai",-0.99432298968362,122.78853827901
7202,72,"Kab. Poso",-1.3952022331805,120.75482448624
7203,72,"Kab. Donggala",-0.67846436511413,119.75257412859
7204,72,"Kab. Toli Toli",1.0184933341745,120.79802306837
7205,72,"Kab. Buol",1.1690776371595,121.40975635779
7206,72,"Kab. Morowali",-2.4808632265318,121.93428529938
7207,72,"Kab. Banggai Kepulauan",-1.3119041730241,123.29844358844
7208,72,"Kab. Parigi Moutong",-0.80542700400191,120.16032341521
7209,72,"Kab. Tojo Una Una",-0.91465073905338,121.58852077078
7210,72,"Kab. Sigi",-1.0473982691059,119.95034087729
7211,72,"Kab. Banggai Laut",-1.6062920063927,123.4963867573
7212,72,"Kab. Morowali Utara",-1.9772829228541,121.33550832771
7271,72,"Kota Palu",-0.89995956549526,119.89102154409
