code,regency_code,province_code,name,latitude,longitude,coordinates
130101,1301,13,"Pancung Soal",,,null
130102,1301,13,"Ranah Pesisir",,,null
130103,1301,13,Lengayang,,,null
130104,1301,13,"Batang Kapas",,,null
130105,1301,13,"IV Jurai",,,null
130106,1301,13,Bayang,,,null
130107,1301,13,"Koto XI Tarusan",,,null
130108,1301,13,Sutera,,,null
130109,1301,13,"Linggo Sari Baganti",,,null
130110,1301,13,Lunang,,,null
130111,1301,13,"Basa Ampek Balai Tapan",,,null
130112,1301,13,"IV Nagari Bayang Utara",,,null
130113,1301,13,Airpura,,,null
130114,1301,13,"Ranah Ampek Hulu Tapan",,,null
130115,1301,13,Silaut,,,null
130203,1302,13,"Pantai Cermin",,,null
130204,1302,13,"Lembah Gumanti",,,null
130205,1302,13,"Payung Sekaki",,,null
130206,1302,13,"Lembang Jaya",,,null
130207,1302,13,"Gunung Talang",,,null
130208,1302,13,"Bukit Sundi",,,null
130209,1302,13,"IX Koto Sungai Lasi",,,null
130210,1302,13,Kubung,,,null
130211,1302,13,"X Koto Singkarak",,,null
130212,1302,13,"X Koto Diatas",,,null
130213,1302,13,"Junjung Sirih",,,null
130217,1302,13,"Hiliran Gumanti",,,null
130218,1302,13,"Tigo Lurah",,,null
130219,1302,13,"Danau Kembar",,,null
130303,1303,13,"Tanjung Gadang",,,null
130304,1303,13,Sijunjung,,,null
130305,1303,13,"IV Nagari",,,null
130306,1303,13,"Kamang Baru",,,null
130307,1303,13,"Lubuak Tarok",,,null
130308,1303,13,"Koto VII",,,null
130309,1303,13,"Sumpur Kudus",,,null
130310,1303,13,Kupitan,,,null
130401,1304,13,"X Koto",,,null
130402,1304,13,Batipuh,,,null
130403,1304,13,Rambatan,,,null
130404,1304,13,"Lima Kaum",,,null
130405,1304,13,"Tanjung Emas",,,null
130406,1304,13,"Lintau Buo",,,null
130407,1304,13,Sungayang,,,null
130408,1304,13,"Sungai Tarab",,,null
130409,1304,13,Pariangan,,,null
130410,1304,13,Salimpaung,,,null
130411,1304,13,"Padang Ganting",,,null
130412,1304,13,"Tanjuang Baru",,,null
130413,1304,13,"Lintau Buo Utara",,,null
130414,1304,13,"Batipuah Selatan",,,null
130501,1305,13,"Lubuk Alung",,,null
130502,1305,13,"Batang Anai",,,null
130503,1305,13,"Nan Sabaris",,,null
130504,1305,13,"2 x 11 Enam Lingkuang",,,null
