code,district_code,regency_code,province_code,name,postal_code,latitude,longitude
3101011001,310101,3101,31,"Pulau Panggang",14530,-5.733788950766,106.5900424295
3101011002,310101,3101,31,"Pulau Kelapa",14540,-5.6448447513916,106.5623672001
3101011003,310101,3101,31,"Pulau Harapan",14540,-5.5338572717025,106.54421750017
3101021001,310102,3101,31,"Pulau Untung Jawa",14510,-5.9817785809097,106.73864406656
3101021002,310102,3101,31,"Pulau Tidung",14520,-5.8040797486984,106.51370139067
3101021003,310102,3101,31,"Pulau Pari",14520,-5.8988923364616,106.59761254939
3171011001,317101,3171,31,Gambir,10110,-6.1763842692817,106.8267073562
3171011002,317101,3171,31,Cideng,10150,-6.1729803094615,106.80831082066
3171011003,317101,3171,31,"Petojo Utara",10130,-6.1653537828033,106.81529944964
3171011004,317101,3171,31,"Petojo Selatan",10160,-6.174770761767,106.8164079731
3171011005,317101,3171,31,"Kebon Kelapa",10120,-6.1641506143865,106.8245499748
3171011006,317101,3171,31,"Duri Pulo",10140,-6.1633807998839,106.80458246447
3171021001,317102,3171,31,"Pasar Baru",10710,-6.1660294705465,106.83448401586
3171021002,317102,3171,31,"Karang Anyar",10740,-6.1539747814412,106.82913543203
3171021003,317102,3171,31,Kartini,10750,-6.1532451786278,106.83311808589
3171021004,317102,3171,31,"Gunung Sahari Utara",10720,-6.1492153695702,106.83828331698
3171021005,317102,3171,31,"Mangga Dua Selatan",10730,-6.142074900419,106.8282602569
3171031001,317103,3171,31,Kemayoran,10620,-6.1647214778002,106.84538378669
3171031002,317103,3171,31,"Kebon Kosong",10630,-6.1581959981208,106.85346180818
3171031003,317103,3171,31,"Harapan Mulia",10640,-6.1705125921054,106.85586697034
3171031004,317103,3171,31,Serdang,10650,-6.1589130143061,106.86114649753
3171031005,317103,3171,31,"Gunung Sahari Selatan",10610,-6.1593423610432,106.84401792362
3171031006,317103,3171,31,"Cempaka Baru",10640,-6.1681084250377,106.86277917406
3171031007,317103,3171,31,"Sumur Batu",10640,-6.1634901752419,106.87104726193
3171031008,317103,3171,31,"Utan Panjang",10650,-6.1653544251195,106.85432622185
3171041001,317104,3171,31,Senen,10410,-6.1761013533588,106.83963164197
3171041002,317104,3171,31,Kenari,10430,-6.193560002499,106.84668347272
3171041003,317104,3171,31,Paseban,10440,-6.1933914752466,106.85258725071
3171041004,317104,3171,31,Kramat,10450,-6.1834864061196,106.84632043758
3171041005,317104,3171,31,Kwitang,10420,-6.1831837632319,106.84019354656
3171041006,317104,3171,31,Bungur,10460,-6.1715713777803,106.84797150675
3171051001,317105,3171,31,"Cempaka Putih Timur",10510,-6.1760002173109,106.87174915332
3171051002,317105,3171,31,"Cempaka Putih Barat",10520,-6.179929831274,106.86384579492
3171051003,317105,3171,31,Rawasari,10570,-6.1904466279099,106.86604650893
3171061001,317106,3171,31,Menteng,10310,-6.2008966997787,106.83392059174
3171061002,317106,3171,31,Pegangsaan,10320,-6.2019646044046,106.84807216726
3171061003,317106,3171,31,Cikini,10330,-6.1914493308014,106.8393879907
3171061004,317106,3171,31,Gondangdia,10350,-6.1917961110216,106.82943589172
3171061005,317106,3171,31,"Kebon Sirih",10340,-6.1850868876359,106.8307525734
3171071001,317107,3171,31,Gelora,10270,-6.2162588826755,106.80150533962
3171071002,317107,3171,31,"Bendungan Hilir",10210,-6.2086307268109,106.80904177717
3171071003,317107,3171,31,"Karet Tengsin",10220,-6.2070666249358,106.81655151435
3171071004,317107,3171,31,Petamburan,10260,-6.1968756628932,106.80600168584
3171071005,317107,3171,31,"Kebon Melati",10230,-6.1970527199037,106.81596823959
3171071006,317107,3171,31,"Kebon Kacang",10240,-6.1902993160821,106.8172019459
3171071007,317107,3171,31,"Kampung Bali",10250,-6.1851877524816,106.8161345799
3171081001,317108,3171,31,"Johar Baru",10560,-6.1856986478664,106.8570296451
3171081002,317108,3171,31,"Kampung Rawa",10550,-6.1795035695678,106.8555132298
3171081003,317108,3171,31,Galur,10530,-6.1761707878343,106.85543630395
3171081004,317108,3171,31,"Tanah Tinggi",10540,-6.1792260732924,106.84924869338
3172011001,317201,3172,31,Penjaringan,14440,-6.1220449171684,106.80002178076
3172011002,317201,3172,31,"Kamal Muara",14470,-6.1043724029785,106.73833563536
3172011003,317201,3172,31,"Kapuk Muara",14460,-6.1221249032846,106.76328536523
3172011004,317201,3172,31,Pejagalan,14450,-6.1358065847035,106.78482745001
3172011005,317201,3172,31,Pluit,14450,-6.1140802563261,106.78646766144
3172021001,317202,3172,31,"Tanjung Priok",14310,-6.1088734920829,106.87914910182
3172021002,317202,3172,31,"Sunter Jaya",14360,-6.1513538193629,106.87681260163
3172021003,317202,3172,31,Papanggo,14340,-6.1290061745916,106.87110876724
3172021004,317202,3172,31,"Sungai Bambu",14330,-6.1307402557487,106.88622432841
