code,regency_code,province_code,name
910101,9101,91,Merauke
910102,9101,91,Muting
910103,9101,91,Okaba
910104,9101,91,Kimaam
910105,9101,91,Semangga
910106,9101,91,"Tanah Miring"
910107,9101,91,Jagebob
910108,9101,91,Sota
910109,9101,91,Ulilin
910110,9101,91,Elikobal
910111,9101,91,Kurik
910112,9101,91,Naukenjerai
910113,9101,91,Animha
910114,9101,91,Malind
910115,9101,91,Tubang
910116,9101,91,Ngguti
910117,9101,91,Kaptel
910118,9101,91,Tabonji
910119,9101,91,Waan
910120,9101,91,Ilwayab
910121,9101,91,Padua
910122,9101,91,Kontuar
910201,9102,91,Wamena
910203,9102,91,Kurulu
910204,9102,91,Asologaima
910212,9102,91,Hubikosi
910215,9102,91,Bolakme
910225,9102,91,Walelagama
910227,9102,91,Musatfak
910228,9102,91,Wolo
910229,9102,91,Asolokobal
910234,9102,91,Pelebaga
910235,9102,91,Yalengga
910240,9102,91,Trikora
910241,9102,91,Napua
910242,9102,91,Walaik
910243,9102,91,Wouma
910244,9102,91,Hubikiak
910245,9102,91,Ibele
910246,9102,91,Taelarek
910247,9102,91,"Itlay Hisage"
910248,9102,91,Siepkosi
910249,9102,91,Usilimo
910250,9102,91,"Wita Waya"
910251,9102,91,Libarek
910252,9102,91,Wadangku
910253,9102,91,Pisugi
910254,9102,91,Koragi
910255,9102,91,Tagime
910256,9102,91,Molagalome
910257,9102,91,Tagineri
910258,9102,91,"Silo Karno Doga"
910259,9102,91,Piramid
910260,9102,91,Muliama
910261,9102,91,Bugi
910262,9102,91,Bpiri
910263,9102,91,Welesi
910264,9102,91,Asotipo
910265,9102,91,Maima
910266,9102,91,Popugoba
910267,9102,91,Wame
910268,9102,91,Wesaput
910301,9103,91,Sentani
910302,9103,91,"Sentani Timur"
910303,9103,91,Depapre
910304,9103,91,"Sentani Barat"
910305,9103,91,Kemtuk
910306,9103,91,"Kemtuk Gresi"
910307,9103,91,Nimboran
910308,9103,91,Nimbokrang
910309,9103,91,"Unurum Guay"
910310,9103,91,Demta
910311,9103,91,Kaureh
910312,9103,91,Ebungfao
910313,9103,91,Waibu
910314,9103,91,Nambluong
910315,9103,91,Yapsi
910316,9103,91,Airu
910317,9103,91,"Raveni Rara"
910318,9103,91,"Gresi Selatan"
910319,9103,91,Yokari
910401,9104,91,Nabire
910402,9104,91,Napan
910403,9104,91,Yaur
910406,9104,91,Uwapa
910407,9104,91,Wanggar
910410,9104,91,Siriwo
910411,9104,91,Makimi
910412,9104,91,"Teluk Umar"
910416,9104,91,"Teluk Kimi"
910417,9104,91,Yaro
910421,9104,91,Wapoga
910422,9104,91,"Nabire Barat"
910423,9104,91,Moora
910424,9104,91,Dipa
910425,9104,91,Menou
910501,9105,91,"Yapen Selatan"
910502,9105,91,"Yapen Barat"
910503,9105,91,"Yapen Timur"
910504,9105,91,Angkaisera
910505,9105,91,Poom
910506,9105,91,Kosiwo
910507,9105,91,"Yapen Utara"
910508,9105,91,Raimbawi
910509,9105,91,"Teluk Ampimoi"
910510,9105,91,"Kepulauan Ambai"
910511,9105,91,Wonawa
910512,9105,91,Windesi
910513,9105,91,"Pulau Kurudu"
910514,9105,91,"Pulau Yerui"
910515,9105,91,Anotaurei
910516,9105,91,Yawakukat
910601,9106,91,"Biak Kota"
910602,9106,91,"Biak Utara"
910603,9106,91,"Biak Timur"
910604,9106,91,"Numfor Barat"
910605,9106,91,"Numfor Timur"
910608,9106,91,"Biak Barat"
910609,9106,91,Warsa
910610,9106,91,Padaido
910611,9106,91,Yendidori
910612,9106,91,Samofa
910613,9106,91,Yawosi
910614,9106,91,Andey
910615,9106,91,Swandiwe
910616,9106,91,Bruyadori
910617,9106,91,Orkeri
910618,9106,91,Poiru
910619,9106,91,"Aimando Padaido"
910620,9106,91,Oridek
910621,9106,91,Bondifuar
910701,9107,91,Mulia
910703,9107,91,Ilu
910706,9107,91,Fawi
910707,9107,91,Mewoluk
910708,9107,91,Yamo
910710,9107,91,Nume
910711,9107,91,Torere
910712,9107,91,Tingginambut
910717,9107,91,Pagaleme
910718,9107,91,Gurage
910719,9107,91,Irimuli
910720,9107,91,Muara
910721,9107,91,Ilamburawi
910722,9107,91,Yambi
910723,9107,91,Lumo
910724,9107,91,Molanikime
910725,9107,91,Dokome
910726,9107,91,Kalome
910727,9107,91,Wanwi
910728,9107,91,Yamoneri
910729,9107,91,Waegi
910730,9107,91,Nioga
910731,9107,91,Gubume
910732,9107,91,Taganombak
910733,9107,91,Dagai
910734,9107,91,Kiyage
910801,9108,91,"Paniai Timur"
910802,9108,91,"Paniai Barat"
910804,9108,91,Aradide
910807,9108,91,Bogabaida
910809,9108,91,Bibida
910812,9108,91,Dumadama
910813,9108,91,Siriwo
910819,9108,91,Kebo
910820,9108,91,Yatamo
910821,9108,91,Ekadide
910822,9108,91,"Wegee Muka"
910823,9108,91,"Wegee Bino"
910824,9108,91,"Pugo Dagi"
910825,9108,91,Muye
910826,9108,91,Nakama
910827,9108,91,"Teluk Deya"
910828,9108,91,Yagai
910829,9108,91,Youtadi
910830,9108,91,"Baya Biru"
910831,9108,91,"Deiyai Miyo"
910832,9108,91,Dogomo
910833,9108,91,Aweida
910834,9108,91,Topiyai
910901,9109,91,"Mimika Baru"
910902,9109,91,Agimuga
910903,9109,91,"Mimika Timur"
910904,9109,91,"Mimika Barat"
910905,9109,91,Jita
910906,9109,91,Jila
910907,9109,91,"Mimika Timur Jauh"
910908,9109,91,"Mimika Tengah"
910909,9109,91,"Kuala Kencana"
910910,9109,91,Tembagapura
910911,9109,91,"Mimika Barat Jauh"
910912,9109,91,"Mimika Barat Tengah"
910913,9109,91,"Kwamki Narama"
910914,9109,91,Hoya
910915,9109,91,Iwaka
910916,9109,91,Wania
910917,9109,91,Amar
910918,9109,91,Alama
911001,9110,91,Sarmi
911002,9110,91,"Tor Atas"
911003,9110,91,"Pantai Barat"
911004,9110,91,"Pantai Timur"
911005,9110,91,Bonggo
911009,9110,91,"Apawer Hulu"
911012,9110,91,"Sarmi Selatan"
911013,9110,91,"Sarmi Timur"
911014,9110,91,"Pantai Timur Bagian Barat"
911015,9110,91,"Bonggo Timur"
911101,9111,91,Waris
911102,9111,91,Arso
911103,9111,91,Senggi
911104,9111,91,Web
911105,9111,91,Skanto
911106,9111,91,"Arso Timur"
911107,9111,91,Towe
911108,9111,91,"Arso Barat"
911109,9111,91,Mannem
911110,9111,91,Yaffi
911111,9111,91,Kaisenar
911201,9112,91,Oksibil
911202,9112,91,Kiwirok
911203,9112,91,Okbibab
911204,9112,91,Iwur
911205,9112,91,Batom
911206,9112,91,Borme
911207,9112,91,"Kiwirok Timur"
911208,9112,91,Aboy
911209,9112,91,Pepera
911210,9112,91,Bime
911211,9112,91,Alemsom
911212,9112,91,Okbape
911213,9112,91,Kalomdol
911214,9112,91,Oksop
911215,9112,91,Serambakon
911216,9112,91,"Ok Aom"
911217,9112,91,Kawor
911218,9112,91,Awinbon
911219,9112,91,Tarup
911220,9112,91,Okhika
911221,9112,91,Oksamol
911222,9112,91,Oklip
911223,9112,91,Okbemtau
911224,9112,91,Oksebang
911225,9112,91,Okbab
911226,9112,91,Batani
911227,9112,91,Weime
911228,9112,91,Murkim
911229,9112,91,Mofinop
911230,9112,91,Jetfa
