code,regency_code,province_code,name,latitude,longitude
160107,1601,16,"Sosoh Buay Rayap",-4.1927475256799,104.07282635587
160108,1601,16,Pengandonan,-4.0820969370956,103.90126838131
160109,1601,16,Peninjauan,-3.8641243238557,104.32412726173
160113,1601,16,"Baturaja Barat",-4.1160461122623,104.12577181984
160114,1601,16,"Baturaja Timur",-4.1611059528281,104.21785497362
160120,1601,16,"Ulu Ogan",-4.186541291313,103.72304206865
160121,1601,16,"Semidang Aji",-4.0318736190042,103.99577821718
160122,1601,16,"Lubuk Batang",-3.9692898381668,104.17053384341
160128,1601,16,Lengkiti,-4.3150855889766,104.05502865716
160129,1601,16,"Sinar Peninjauan",-3.9357645016373,104.4106470813
160130,1601,16,"Lubuk Raja",-4.1178726943252,104.2941538769
160131,1601,16,"Muara Jaya",-4.148252126195,103.86042888824
160132,1601,16,"Kedaton Peninjauan Raya",-3.8149906196385,104.47654972415
160202,1602,16,"Tanjung Lubuk",-3.5689806249196,104.70435704839
160203,1602,16,Pedamaran,-3.4854295875941,104.92544056768
160204,1602,16,Mesuji,-3.925864693359,105.12490239829
160205,1602,16,"Kayu Agung",-3.3852326085521,104.89147458918
160208,1602,16,"Sirah Pulau Padang",-3.2845276348736,104.87848950019
160211,1602,16,"Tulung Selapan",-3.1133731768158,105.64944020106
160212,1602,16,Pampangan,-3.310568301113,105.03374427136
160213,1602,16,Lempuing,-3.9037030440125,104.94503375551
160214,1602,16,"Air Sugihan",-2.6424744910949,105.44938475105
160215,1602,16,"Sungai Menang",-3.8456090226501,105.62650083241
160217,1602,16,Jejawi,-3.1784988739844,104.8581369212
160218,1602,16,Cengal,-3.5151972086756,105.60407100695
160219,1602,16,"Pangkalan Lampam",-3.0855619289116,105.22253196545
160220,1602,16,"Mesuji Makmur",-4.1283725508219,104.88674825193
160221,1602,16,"Mesuji Raya",-3.7467893472976,105.09583509096
160222,1602,16,"Lempuing Jaya",-3.6841595462801,104.91109014882
160223,1602,16,"Teluk Gelam",-3.5898619875915,104.7822779661
160224,1602,16,"Pedamaran Timur",-3.5525290507512,105.14414375864
160301,1603,16,"Tanjung Agung",-3.8974362246104,103.81253032951
160302,1603,16,"Muara Enim",-3.6641309372415,103.80153137625
160303,1603,16,"Rambang Niru",-3.6168069168623,104.01403285251
160304,1603,16,"Gunung Megang",-3.5284086457869,103.88225729357
160306,1603,16,Gelumbang,-3.2135108363635,104.41973051646
160307,1603,16,"Lawang Kidul",-3.7734993229093,103.83491703385
160308,1603,16,"Semende Darat Laut",-4.0998368906974,103.64215258244
160309,1603,16,"Semende Darat Tengah",-4.1821999346046,103.47729877194
