code,province_code,name,latitude,longitude
1601,16,"Kab. Ogan Komering Ulu",-4.0937347209347,104.1052121074
1602,16,"Kab. Ogan Komering Ilir",-3.3637135239085,105.39730965486
1603,16,"Kab. Muara Enim",-3.6366013665216,103.99668856643
1604,16,"Kab. Lahat",-3.8288234056844,103.37894909097
1605,16,"Kab. Musi Rawas",-3.1653972729768,103.13654937561
1606,16,"Kab. Musi Banyuasin",-2.450289966397,103.82783465152
1607,16,"Kab. Banyuasin",-2.5201702379334,104.68699686736
1608,16,"Kab. Ogan Komering Ulu Timur",-4.0743113524251,104.56698887315
1609,16,"Kab. Ogan Komering Ulu Selatan",-4.5889401853557,103.9101410362
1610,16,"Kab. Ogan Ilir",-3.4152936166034,104.6053138608
1611,16,"Kab. Empat Lawang",-3.751489010674,102.94800046285
1612,16,"Kab. Penukal Abab Lematang Ilir",-3.2009762701801,103.99497526425
1613,16,"Kab. Musi Rawas Utara",-2.7401701357873,102.74375243269
1671,16,"Kota Palembang",-2.9717194498951,104.74131972773
1672,16,"Kota Pagar Alam",-4.1176017648425,103.26638710836
1673,16,"Kota Lubuk Linggau",-3.2630018671717,102.87510965353
1674,16,"Kota Prabumulih",-3.4479604543543,104.22887565657
