code,regency_code,province_code,name,latitude,longitude,coordinates
140703,1407,14,"Tanah Putih",,,null
141009,1410,14,"Rangsang Pesisir",,,null
147101,1471,14,Sukajadi,,,null
147203,1472,14,"Bukit Kapur",,,null
140214,1402,14,"Batang Peranap",,,null
140412,1404,14,Gaung,,,null
140418,1404,14,Concong,,,null
140609,1406,14,"Tambusai Utara",,,null
140709,1407,14,"Tanah Putih Tanjung Melawan",,,null
140903,1409,14,Singingi,,,null
140915,1409,14,"Pucuk Rantau",,,null
141002,1410,14,"Rangsang Barat",,,null
147111,1471,14,"Payung Sekaki",,,null
140111,1401,14,"Tapung Hilir",,,null
140311,1403,14,"Rupat Utara",,,null
140505,1405,14,Langgam,,,null
140712,1407,14,"Batu Hampar",,,null
140813,1408,14,Mempura,,,null
141006,1410,14,Pulaumerbau,,,null
