code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
9201042019,920104,9201,92,Klamak,,,null
9201062013,920106,9201,92,Klayas,,,null
9201071003,920107,9201,92,Malawele,,,null
9201132009,920113,9201,92,"Warmon Kokoda",,,null
9201172003,920117,9201,92,Indiwi,,,null
9201422004,920142,9201,92,Ninjemur,,,null
9201442004,920144,9201,92,Klamomis,,,null
9201442008,920144,9201,92,Klawon,,,null
9201532007,920153,9201,92,Batbiro,,,null
9201542002,920154,9201,92,Mamsit,,,null
9202032005,920203,9202,92,Nimbay,,,null
9202042006,920204,9202,92,"Waseki Pop",,,null
9202042012,920204,9202,92,"Kali Amin",,,null
9202052039,920205,9202,92,Aska,,,null
9202121004,920212,9202,92,Amban,,,null
9202142014,920214,9202,92,"Tanah Rubuh",,,null
9202152007,920215,9202,92,Waluri,,,null
9202212009,920221,9202,92,Wariki,,,null
9203022013,920302,9203,92,"Werba Utara",,,null
9203092001,920309,9203,92,Puar,,,null
9203122009,920312,9203,92,Krabelang,,,null
9203142005,920314,9203,92,Wos,,,null
9203152007,920315,9203,92,Kuagas,,,null
9203172009,920317,9203,92,Wammar,,,null
9204042020,920404,9204,92,Mogibi,,,null
9204092017,920409,9204,92,Tapas,,,null
9204212007,920421,9204,92,Karirif,,,null
9204222010,920422,9204,92,Botain,,,null
9204242002,920424,9204,92,Wandum,,,null
9205012007,920501,9205,92,Atkari,,,null
9205112002,920511,9205,92,Kapisawar,,,null
9205152005,920515,9205,92,Gag,,,null
9205162005,920516,9205,92,Magey,,,null
9205172001,920517,9205,92,"Wejim Barat",,,null
9205222002,920522,9205,92,Sakabu,,,null
9205222006,920522,9205,92,Wailabu,,,null
9205232004,920523,9205,92,Kapadiri,,,null
9206022014,920602,9206,92,Mekiesefeb,,,null
9206212003,920621,9206,92,"Weriagar Baru",,,null
9206222003,920622,9206,92,Istiwkem,,,null
9208032031,920803,9208,92,Gusi,,,null
9208042003,920804,9208,92,Nariki,,,null
9208062004,920806,9208,92,Egerwara,,,null
9209012003,920901,9209,92,Wayo,,,null
9209062003,920906,9209,92,Waibem,,,null
9209062005,920906,9209,92,Weyaf,,,null
9209092029,920909,9209,92,Pubuan,,,null
9209142006,920914,9209,92,Bano,,,null
9209162001,920916,9209,92,Mawor,,,null
9209202001,920920,9209,92,Tinggouw,,,null
9209212006,920921,9209,92,Syumbi,,,null
9209242009,920924,9209,92,Umpay,,,null
9209252006,920925,9209,92,"Ajami Waripi",,,null
9209262005,920926,9209,92,"Kali An",,,null
9209282003,920928,9209,92,"Kasi Jaya",,,null
9210012023,921001,9210,92,Sunei,,,null
9210082017,921008,9210,92,Fraharo,,,null
9210112002,921011,9210,92,Seya,,,null
9210192006,921019,9210,92,Kona,,,null
9210212007,921021,9210,92,Sien,,,null
9212032003,921203,9212,92,Usti,,,null
9212032005,921203,9212,92,Koney,,,null
