code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
3401012009,340101,3401,34,Kulur,,,null
3401022002,340102,3401,34,Sogan,,,null
3401042004,340104,3401,34,Karangsewu,,,null
3401052005,340105,3401,34,Gulurejo,,,null
3401072005,340107,3401,34,Pengasih,,,null
3401072007,340107,3401,34,Sidomulyo,,,null
3401082003,340108,3401,34,Hargowilis,,,null
3401122002,340112,3401,34,Banjarasri,,,null
3402112005,340211,3402,34,Terong,,,null
3402122004,340212,3402,34,Singosaren,,,null
3402152001,340215,3402,34,Pendowoharjo,,,null
3403032004,340303,3403,34,Getas,,,null
3403032006,340303,3403,34,Ngunut,,,null
3403102004,340310,3403,34,Kenteng,,,null
3403162001,340316,3403,34,Balong,,,null
3404012002,340401,3404,34,Ambarketawang,,,null
3404052003,340405,3404,34,Margokaton,,,null
3404092006,340409,3404,34,Bokoharjo,,,null
3471061002,347106,3471,34,Notoprajan,,,null
3471131007,347113,3471,34,Giwangan,,,null
3401012005,340101,3401,34,Kalidengen,,,null
3401012014,340101,3401,34,Janten,,,null
3401042002,340104,3401,34,Kranggan,,,null
3401052003,340105,3401,34,Jatirejo,,,null
3401062002,340106,3401,34,Srikayangan,,,null
3401102002,340110,3401,34,Donomulyo,,,null
3402052001,340205,3402,34,Sidomulyo,,,null
3403012007,340301,3403,34,Baleharjo,,,null
3403042004,340304,3403,34,Semoyo,,,null
3403042010,340304,3403,34,Nglegi,,,null
3403082003,340308,3403,34,Pacarejo,,,null
3404122002,340412,3404,34,Minomartani,,,null
3404152003,340415,3404,34,Girikerto,,,null
3404162002,340416,3404,34,Candibinangun,,,null
3471041002,347104,3471,34,Tegalpanggung,,,null
3401052006,340105,3401,34,Ngentakrejo,,,null
3401092001,340109,3401,34,Jatimulyo,,,null
3402042002,340204,3402,34,Panjangrejo,,,null
3402132005,340213,3402,34,Wonolelo,,,null
3403042011,340304,3403,34,Terbah,,,null
3403062005,340306,3403,34,Giriharjo,,,null
3403072001,340307,3403,34,Giripanggung,,,null
3403092002,340309,3403,34,Wiladeg,,,null
