code,province_code,name,latitude,longitude
6201,62,"Kab. Kotawaringin Barat",-2.5721683851679,111.77416564276
6202,62,"Kab. Kotawaringin Timur",-2.0858136187847,112.71518831454
6203,62,"Kab. Kapuas",-1.7633755450584,114.30272835556
6204,62,"Kab. Barito Selatan",-1.7743280088424,114.91107759092
6205,62,"Kab. Barito Utara",-0.92838019740307,115.13762095229
6206,62,"Kab. Katingan",-1.6858743275562,113.07082915071
6207,62,"Kab. Seruyan",-2.257238224208,112.1986500289
6208,62,"Kab. Sukamara",-2.6043487540258,111.15957390978
6209,62,"Kab. Lamandau",-1.771384656987,111.41784811878
6210,62,"Kab. Gunung Mas",-1.0251023761625,113.55877317357
6211,62,"Kab. Pulang Pisau",-2.6908594381065,113.96757574005
6212,62,"Kab. Murung Raya",-0.031786795075184,114.2623283727
6213,62,"Kab. Barito Timur",-1.9823283309238,115.1439549815
6271,62,"Kota Palangkaraya",-2.0074642796322,113.76747426267
