code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
3201031006,320103,3201,32,Puspanegara,,,null
3201052002,320105,3201,32,Sumurbatu,,,null
3201082009,320108,3201,32,Tegalpanjang,,,null
3201122004,320112,3201,32,Pabuaran,,,null
3201132001,320113,3201,32,Bojongbaru,,,null
3201142002,320114,3201,32,Purasari,,,null
3201172001,320117,3201,32,Purwabakti,,,null
3201182001,320118,3201,32,Rumpin,,,null
3201182002,320118,3201,32,Leuwibatu,,,null
3201202001,320120,3201,32,Jagabaya,,,null
3201212002,320121,3201,32,Curugbitung,,,null
3201222007,320122,3201,32,Bangunjaya,,,null
3201222009,320122,3201,32,Batujajar,,,null
3201222012,320122,3201,32,Banyuwangi,,,null
3201242001,320124,3201,32,Cileungsi,,,null
3201242006,320124,3201,32,"Teluk Pinang",,,null
3201252006,320125,3201,32,"Tugu Selatan",,,null
3201302008,320130,3201,32,Babakan,,,null
3201322001,320132,3201,32,Klapanunggal,,,null
3201352001,320135,3201,32,Cisarua,,,null
3201382002,320138,3201,32,Watesjaya,,,null
3201382005,320138,3201,32,Cisalada,,,null
3202062011,320206,3202,32,Cijambe,,,null
3202092006,320209,3202,32,Ubrug,,,null
3202122003,320212,3202,32,"Nagrak Utara",,,null
3202162009,320216,3202,32,Tenjoayu,,,null
3202182006,320218,3202,32,"Walang Sari",,,null
3202212009,320221,3202,32,Tanjung,,,null
3202222001,320222,3202,32,Ciemas,,,null
3202242001,320224,3202,32,Jagamukti,,,null
3202262006,320226,3202,32,Mekarsari,,,null
3202282002,320228,3202,32,Lembursawah,,,null
3202372001,320237,3202,32,Pabuaran,,,null
3202402007,320240,3202,32,Buniwangi,,,null
3202432005,320243,3202,32,Mekarjaya,,,null
3202452004,320245,3202,32,Calingcing,,,null
3202462002,320246,3202,32,Sukamaju,,,null
3203042006,320304,3203,32,Rahong,,,null
3203042007,320304,3203,32,Munjul,,,null
3203142007,320314,3203,32,Sukalaksana,,,null
3203172016,320317,3203,32,Neglasari,,,null
3203172023,320317,3203,32,Sindangsari,,,null
3203182008,320318,3203,32,Pasirbaru,,,null
3203182011,320318,3203,32,Mekarsari,,,null
3203192001,320319,3203,32,Tanggeung,,,null
3203202001,320320,3203,32,Pananggapan,,,null
3203202013,320320,3203,32,Mekarmukti,,,null
3203222018,320322,3203,32,"Tanjung Sari",,,null
3203232003,320323,3203,32,Cisalak,,,null
3203232011,320323,3203,32,Jayapura,,,null
3203252005,320325,3203,32,Sukabungah,,,null
3203262008,320326,3203,32,Sukaluyu,,,null
3204052003,320405,3204,32,Cimekar,,,null
3204062004,320406,3204,32,Mandalamekar,,,null
3204132016,320413,3204,32,Neglasari,,,null
3204152003,320415,3204,32,Warnasari,,,null
3204152004,320415,3204,32,Sukamanah,,,null
3204162010,320416,3204,32,Rancakole,,,null
3204172005,320417,3204,32,Cipinang,,,null
3204272008,320427,3204,32,Tanjunglaya,,,null
3204292003,320429,3204,32,Mekarsari,,,null
3204402004,320440,3204,32,Cipelah,,,null
3204442006,320444,3204,32,Jatisari,,,null
3205011006,320501,3205,32,Sukamentri,,,null
3205022004,320502,3205,32,Karangpawitan,,,null
3205042002,320504,3205,32,Cimanganten,,,null
3205062011,320506,3205,32,Bagendit,,,null
3205082009,320508,3205,32,Padamukti,,,null
3205102010,320510,3205,32,Talagasari,,,null
3205132003,320513,3205,32,Sukamerang,,,null
3205172009,320517,3205,32,Ciburuy,,,null
3205172014,320517,3205,32,Mekarjaya,,,null
3205232007,320523,3205,32,Mulyajaya,,,null
3205282006,320528,3205,32,Cikondang,,,null
3205302004,320530,3205,32,Cogadog,,,null
3205332008,320533,3205,32,Jatiwangi,,,null
3205392003,320539,3205,32,Cigawir,,,null
3206012013,320601,3206,32,Nangelasari,,,null
3206042009,320604,3206,32,Margaluyu,,,null
3206052009,320605,3206,32,Linggalaksana,,,null
3206062003,320606,3206,32,Eureunpalay,,,null
3206062005,320606,3206,32,Singajaya,,,null
3206192002,320619,3206,32,Setiawangi,,,null
3206262006,320626,3206,32,Wargakerta,,,null
3206292004,320629,3206,32,Cisaruni,,,null
3206342005,320634,3206,32,Sukaraja,,,null
3207042001,320704,3207,32,Gunungsari,,,null
3207052006,320705,3207,32,Sukasari,,,null
3207082002,320708,3207,32,Kertamandala,,,null
3207122001,320712,3207,32,Jatinagara,,,null
3207172011,320717,3207,32,Cintaratu,,,null
3207342006,320734,3207,32,Darmaraja,,,null
3208062002,320806,3208,32,Walaharcageur,,,null
3208091006,320809,3208,32,Purwawinangun,,,null
3208181004,320818,3208,32,Sukamulya,,,null
3208252002,320825,3208,32,Bungurberes,,,null
3208302010,320830,3208,32,Mekarsari,,,null
3208322005,320832,3208,32,Sangkanhurip,,,null
3209062015,320906,3209,32,Karangmekar,,,null
3209072005,320907,3209,32,Sindanglaut,,,null
3209132004,320913,3209,32,Ciawigajah,,,null
3209132009,320913,3209,32,Halimpu,,,null
3209151004,320915,3209,32,Sumber,,,null
3209162004,320916,3209,32,Dukupuntang,,,null
3209162010,320916,3209,32,Kepunduan,,,null
3209182002,320918,3209,32,Pamijahan,,,null
3209232012,320923,3209,32,Bangodua,,,null
3209242005,320924,3209,32,Tegalgubug,,,null
3209292004,320929,3209,32,Ujungsemi,,,null
3209292007,320929,3209,32,"Kaliwedi Kidul",,,null
3209342007,320934,3209,32,Karangwangi,,,null
3209352006,320935,3209,32,Battembat,,,null
3209362003,320936,3209,32,Panembahan,,,null
3209362005,320936,3209,32,"Trusmi Kulon",,,null
3210102006,321010,3210,32,Rajawangi,,,null
3210142001,321014,3210,32,Pakubeureum,,,null
3210162015,321016,3210,32,Sukawera,,,null
3210182005,321018,3210,32,Jatiserang,,,null
3210182007,321018,3210,32,Leuwiseeng,,,null
3210192002,321019,3210,32,Cisambeng,,,null
3210192011,321019,3210,32,Karamat,,,null
3210242002,321024,3210,32,Leuwikidang,,,null
3211032009,321103,3211,32,Cieunteung,,,null
3211082004,321108,3211,32,"Legok Kaler",,,null
3211162006,321116,3211,32,Pamekaran,,,null
3211172005,321117,3211,32,Sukagalih,,,null
3211172010,321117,3211,32,Sukajaya,,,null
3211212009,321121,3211,32,"Tanjung Medar",,,null
3211222001,321122,3211,32,Cimalaka,,,null
3211222002,321122,3211,32,Galudra,,,null
3211222011,321122,3211,32,Citimun,,,null
3211252007,321125,3211,32,Sukamulya,,,null
3211252008,321125,3211,32,Cipelang,,,null
3212082018,321208,3212,32,"Tenajar Lor",,,null
3212102019,321210,3212,32,"Kaplongan Lor",,,null
3212212012,321221,3212,32,"Eretan Kulon",,,null
3212232001,321223,3212,32,Anjatan,,,null
3212252007,321225,3212,32,Mekarwaru,,,null
3212272002,321227,3212,32,Bondan,,,null
3213052008,321305,3213,32,"Balebandung Jaya",,,null
3213082003,321308,3213,32,Binong,,,null
3213102006,321310,3213,32,Gempol,,,null
3213112010,321311,3213,32,Lengkongjaya,,,null
3213142001,321314,3213,32,Buniara,,,null
3213142005,321314,3213,32,Kawungluwuk,,,null
3213152008,321315,3213,32,Sukadana,,,null
3213182003,321318,3213,32,Tanjung,,,null
3213192007,321319,3213,32,Cikadu,,,null
3214011001,321401,3214,32,"Nagri Kidul",,,null
3214022002,321402,3214,32,Campakasari,,,null
3214022003,321402,3214,32,Benteng,,,null
3214032010,321403,3214,32,Parakanlima,,,null
3214042009,321404,3214,32,Anjun,,,null
3214052011,321405,3214,32,Cijantung,,,null
3214062006,321406,3214,32,Linggarsari,,,null
3214102009,321410,3214,32,Selaawi,,,null
3214142008,321414,3214,32,Cibukamanah,,,null
3215032001,321503,3215,32,Telukjambe,,,null
3215062003,321506,3215,32,Kertasari,,,null
3215072011,321507,3215,32,Sindangsari,,,null
3215112008,321511,3215,32,Cemarajaya,,,null
3215112011,321511,3215,32,Gebangjaya,,,null
3215132003,321513,3215,32,"Cikampek Kota",,,null
3215152002,321515,3215,32,Cilamaya,,,null
3215172014,321517,3215,32,Pulosari,,,null
3215192002,321519,3215,32,Ciwaringin,,,null
3215202011,321520,3215,32,Sumberjaya,,,null
3215202012,321520,3215,32,Pagadungan,,,null
3215292001,321529,3215,32,Darawolong,,,null
3215292008,321529,3215,32,Karangsari,,,null
3215302009,321530,3215,32,Mekarpohaci,,,null
3216042004,321604,3216,32,Sukarapih,,,null
3216092004,321609,3216,32,Waluya,,,null
3216142002,321614,3216,32,Sukaindah,,,null
3216152002,321615,3216,32,Sukamanah,,,null
3216162003,321616,3216,32,Sindangsari,,,null
3216182007,321618,3216,32,"Taman Rahayu",,,null
3217042011,321704,3217,32,Rende,,,null
3217052005,321705,3217,32,Jatimekar,,,null
3217072004,321707,3217,32,Rajamandalakulon,,,null
3217092008,321709,3217,32,Pangauban,,,null
3217152002,321715,3217,32,Gununghalu,,,null
3218032003,321803,3218,32,Legokjawa,,,null
3218072011,321807,3218,32,Bojongsari,,,null
3218092006,321809,3218,32,Sidomulyo,,,null
3271021003,327102,3271,32,Katulampa,,,null
3271051005,327105,3271,32,Cibuluh,,,null
3272041005,327204,3272,32,Benteng,,,null
3272051003,327205,3272,32,Jayamekar,,,null
3273151007,327315,3273,32,"Cigondewah Rahayu",,,null
3273221002,327322,3273,32,Margasari,,,null
3273301002,327330,3273,32,"Karang Pamulang",,,null
3274041002,327404,3274,32,Pekalipan,,,null
3274041003,327404,3274,32,Pulasaren,,,null
3276031003,327603,3276,32,Pengasinan,,,null
3276041003,327604,3276,32,Krukut,,,null
3278041007,327804,3278,32,"Sukamaju Kaler",,,null
3278061014,327806,3278,32,Setiajaya,,,null
3201011005,320101,3201,32,"Nanggewer Mekar",,,null
3201062013,320106,3201,32,Sukajaya,,,null
3201172008,320117,3201,32,Pamijahan,,,null
3201192008,320119,3201,32,Setu,,,null
3201222001,320122,3201,32,Sukamaju,,,null
3201242002,320124,3201,32,Citapen,,,null
3201272007,320127,3201,32,Cimande,,,null
3201332002,320133,3201,32,Ciseeng,,,null
3201382003,320138,3201,32,Ciburuy,,,null
3201392006,320139,3201,32,"Kalong II",,,null
3202052011,320205,3202,32,Wanajaya,,,null
3202082009,320208,3202,32,Cijulang,,,null
3202112003,320211,3202,32,Pamuruyan,,,null
3202162012,320216,3202,32,Bangbayang,,,null
3202172007,320217,3202,32,Girijaya,,,null
3202192005,320219,3202,32,Mekarjaya,,,null
3202212008,320221,3202,32,Mekarjaya,,,null
3202332009,320233,3202,32,Margaluyu,,,null
3202362001,320236,3202,32,Sukalarang,,,null
3203032014,320303,3203,32,Girimulya,,,null
3203072016,320307,3203,32,Sukamulya,,,null
3203102010,320310,3203,32,Ciputri,,,null
3203212002,320321,3203,32,Muaracikadu,,,null
3203232002,320323,3203,32,Cibuluh,,,null
3203322007,320332,3203,32,Mekarmulya,,,null
3204062003,320406,3204,32,Cimenyan,,,null
3204092001,320409,3204,32,"Margahayu Tengah",,,null
3204132003,320413,3204,32,"Banjaran Kulon",,,null
3204132006,320413,3204,32,Sindangpanon,,,null
3204252007,320425,3204,32,Narawita,,,null
3204262001,320426,3204,32,Nagreg,,,null
3204282002,320428,3204,32,"Rancaekek Kulon",,,null
3204312003,320431,3204,32,Santosa,,,null
3204332004,320433,3204,32,Padamulya,,,null
3204442004,320444,3204,32,Bandasari,,,null
3204462003,320446,3204,32,Pameuntasan,,,null
3205022006,320502,3205,32,Cimurah,,,null
3205022011,320502,3205,32,Karangsari,,,null
3205032001,320503,3205,32,Wanaraja,,,null
3205032019,320503,3205,32,Wanasari,,,null
3205032024,320503,3205,32,Sindangprabu,,,null
3205042003,320504,3205,32,Jati,,,null
3205042008,320504,3205,32,Mekarjaya,,,null
3205082005,320508,3205,32,Padawaas,,,null
3205152002,320515,3205,32,Sukamukti,,,null
3205152011,320515,3205,32,"Mekar Hurip",,,null
3205172008,320517,3205,32,Mekarsari,,,null
3205182003,320518,3205,32,Sukahurip,,,null
3205202012,320520,3205,32,Pamulihan,,,null
3205202014,320520,3205,32,Sirnagalih,,,null
3205222008,320522,3205,32,Cikandang,,,null
3205232006,320523,3205,32,Jayabakti,,,null
3205262003,320526,3205,32,Saribakti,,,null
3205322004,320532,3205,32,Cijayana,,,null
3205322005,320532,3205,32,Mekarsari,,,null
3205372003,320537,3205,32,Mekarmukti,,,null
3205372006,320537,3205,32,Selaawi,,,null
3206032006,320603,3206,32,Cibeber,,,null
3206072002,320607,3206,32,Cigunung,,,null
3206082007,320608,3206,32,Wakap,,,null
3206112008,320611,3206,32,Kertanegla,,,null
3206142008,320614,3206,32,Kawungsari,,,null
3206152002,320615,3206,32,Sukasari,,,null
3206162006,320616,3206,32,Cintajaya,,,null
3206192010,320619,3206,32,Kertarahayu,,,null
3206222010,320622,3206,32,Margahayu,,,null
3206232002,320623,3206,32,Gunungtanjung,,,null
3206232003,320623,3206,32,Bojongsari,,,null
3206282007,320628,3206,32,Linggamulya,,,null
3206292001,320629,3206,32,Cilampunghilir,,,null
3206322006,320632,3206,32,Cikadu,,,null
3206332003,320633,3206,32,Sukahening,,,null
3206352003,320635,3206,32,Sindangraja,,,null
3206392004,320639,3206,32,Banjarsari,,,null
3207052001,320705,3207,32,Cidolog,,,null
3207062003,320706,3207,32,Cijulang,,,null
3207112011,320711,3207,32,Selamanik,,,null
3207142002,320714,3207,32,Salakaria,,,null
3207172012,320717,3207,32,Sindangangin,,,null
3207302010,320730,3207,32,Girimukti,,,null
3207322003,320732,3207,32,Mekarjaya,,,null
3207352003,320735,3207,32,Purwajaya,,,null
3207372009,320737,3207,32,Karyamukti,,,null
3208052005,320805,3208,32,Citenjo,,,null
3208062011,320806,3208,32,Panyosogan,,,null
3208062015,320806,3208,32,Benda,,,null
3208091009,320809,3208,32,Ciporang,,,null
3208112009,320811,3208,32,Cibulan,,,null
3208112010,320811,3208,32,Nanggela,,,null
