code,regency_code,province_code,name,latitude,longitude,coordinates
320101,3201,32,Cibinong,,,null
320102,3201,32,"Gunung Putri",,,null
320103,3201,32,Citeureup,,,null
320104,3201,32,Sukaraja,,,null
320105,3201,32,"Babakan Madang",,,null
320106,3201,32,Jonggol,,,null
320107,3201,32,Cileungsi,,,null
320108,3201,32,Cariu,,,null
320109,3201,32,Sukamakmur,,,null
320110,3201,32,Parung,,,null
320111,3201,32,"Gunung Sindur",,,null
320112,3201,32,Kemang,,,null
320113,3201,32,"Bojong Gede",,,null
320114,3201,32,Leuwiliang,,,null
320115,3201,32,Ciampea,,,null
320116,3201,32,Cibungbulang,,,null
320117,3201,32,Pamijahan,,,null
320118,3201,32,Rumpin,,,null
320119,3201,32,Jasinga,,,null
320120,3201,32,"Parung Panjang",,,null
320121,3201,32,Nanggung,,,null
320122,3201,32,Cigudeg,,,null
320123,3201,32,Tenjo,,,null
320124,3201,32,Ciawi,,,null
320125,3201,32,Cisarua,,,null
320126,3201,32,Megamendung,,,null
320127,3201,32,Caringin,,,null
320128,3201,32,Cijeruk,,,null
320129,3201,32,Ciomas,,,null
320130,3201,32,Dramaga,,,null
320131,3201,32,Tamansari,,,null
320132,3201,32,Klapanunggal,,,null
320133,3201,32,Ciseeng,,,null
320134,3201,32,"Ranca Bungur",,,null
320135,3201,32,Sukajaya,,,null
320136,3201,32,Tanjungsari,,,null
320137,3201,32,Tajurhalang,,,null
320138,3201,32,Cigombong,,,null
320139,3201,32,Leuwisadeng,,,null
320140,3201,32,Tenjolaya,,,null
320201,3202,32,Palabuhanratu,,,null
320202,3202,32,Simpenan,,,null
320203,3202,32,Cikakak,,,null
320204,3202,32,Bantargadung,,,null
320205,3202,32,Cisolok,,,null
320206,3202,32,Cikidang,,,null
320207,3202,32,Lengkong,,,null
320208,3202,32,Jampangtengah,,,null
320209,3202,32,Warungkiara,,,null
320210,3202,32,Cikembar,,,null
320211,3202,32,Cibadak,,,null
320212,3202,32,Nagrak,,,null
320213,3202,32,Parungkuda,,,null
320214,3202,32,Bojonggenteng,,,null
320215,3202,32,Parakansalak,,,null
320216,3202,32,Cicurug,,,null
320217,3202,32,Cidahu,,,null
320218,3202,32,Kalapanunggal,,,null
320219,3202,32,Kabandungan,,,null
320220,3202,32,Waluran,,,null
320221,3202,32,Jampangkulon,,,null
320222,3202,32,Ciemas,,,null
320223,3202,32,Kalibunder,,,null
320224,3202,32,Surade,,,null
320225,3202,32,Cibitung,,,null
320226,3202,32,Ciracap,,,null
320227,3202,32,Gunungguruh,,,null
320228,3202,32,Cicantayan,,,null
320229,3202,32,Cisaat,,,null
320230,3202,32,Kadudampit,,,null
320231,3202,32,Caringin,,,null
320232,3202,32,Sukabumi,,,null
320233,3202,32,Sukaraja,,,null
320234,3202,32,Kebonpedes,,,null
320235,3202,32,Cireunghas,,,null
320236,3202,32,Sukalarang,,,null
320237,3202,32,Pabuaran,,,null
320238,3202,32,Purabaya,,,null
320239,3202,32,Nyalindung,,,null
320240,3202,32,Gegerbitung,,,null
320241,3202,32,Sagaranten,,,null
320242,3202,32,Curugkembar,,,null
320243,3202,32,Cidolog,,,null
320244,3202,32,Cidadap,,,null
320245,3202,32,Tegalbuleud,,,null
320246,3202,32,Cimanggu,,,null
320247,3202,32,Ciambar,,,null
320301,3203,32,Cianjur,,,null
320302,3203,32,Warungkondang,,,null
320303,3203,32,Cibeber,,,null
320304,3203,32,Cilaku,,,null
320305,3203,32,Ciranjang,,,null
320306,3203,32,Bojongpicung,,,null
320307,3203,32,Karangtengah,,,null
320308,3203,32,Mande,,,null
320309,3203,32,Sukaluyu,,,null
320310,3203,32,Pacet,,,null
320311,3203,32,Cugenang,,,null
320312,3203,32,Cikalongkulon,,,null
320313,3203,32,Sukaresmi,,,null
320314,3203,32,Sukanagara,,,null
320315,3203,32,Campaka,,,null
320316,3203,32,Takokak,,,null
320317,3203,32,Kadupandak,,,null
320318,3203,32,Pagelaran,,,null
320319,3203,32,Tanggeung,,,null
