code,regency_code,province_code,name,latitude,longitude
750101,7501,75,Limboto,0.65433438346386,122.98319557507
750102,7501,75,Telaga,0.66416024511878,123.04155214081
750103,7501,75,Batudaa,0.54460918666764,122.96412910155
750104,7501,75,Tibawa,0.6944606551341,122.84750826211
750105,7501,75,"Batudaa Pantai",0.50598897933957,122.95209078045
750109,7501,75,Boliyohuto,0.65621364280792,122.6140478031
750110,7501,75,"Telaga Biru",0.7033860821887,123.03461052013
750111,7501,75,Bongomeme,0.56827100230767,122.79316167365
750113,7501,75,Tolangohula,0.77758561548187,122.55455564989
750114,7501,75,Mootilango,0.75630055203529,122.65063164218
750116,7501,75,Pulubala,0.67784409300033,122.75189144431
750117,7501,75,"Limboto Barat",0.66110658707568,122.93016933025
750118,7501,75,Tilango,0.5630595008521,123.01494254228
750119,7501,75,Tabongo,0.57826508225735,122.92788975461
750120,7501,75,Biluhu,0.50782718183237,122.77862140348
750121,7501,75,Asparaga,0.8360853949618,122.3844285161
750122,7501,75,"Talaga Jaya",0.58185360013661,123.01101726507
750123,7501,75,Bilato,0.56959066417305,122.67538511613
750124,7501,75,Dungaliyo,0.56913050094134,122.88146092477
750201,7502,75,Paguyaman,0.62107511594245,122.54039319132
750202,7502,75,Wonosari,0.720437864911,122.40574120073
750203,7502,75,Dulupi,0.62381214525942,122.3859424483
750204,7502,75,Tilamuta,0.58307012401915,122.32626708263
750205,7502,75,Mananggu,0.68132866456811,122.1483532601
750206,7502,75,Botumoito,0.438141811125,122.24900335924
750207,7502,75,"Paguyaman Pantai",0.53737421583039,122.56540872074
750301,7503,75,Tapa,0.62518329054867,123.10157194669
750302,7503,75,Kabila,0.54541769823351,123.10366220479
750303,7503,75,Suwawa,0.5763893655578,123.1789342934
750304,7503,75,Bonepantai,0.41365064296342,123.23039975681
750305,7503,75,"Bulango Utara",0.69979950198194,123.08285199828
750306,7503,75,Tilongkabila,0.58340913051002,123.13050748434
750307,7503,75,Botupingge,0.51824158707254,123.10387658159
750308,7503,75,"Kabila Bone",0.45819717726449,123.14278505353
750309,7503,75,Bone,0.37539050824809,123.44551551708
750310,7503,75,"Bone Raya",0.35689634978175,123.35225283508
750311,7503,75,"Suwawa Timur",0.53580681217377,123.29255958855
750312,7503,75,"Suwawa Selatan",0.49827574329679,123.17654501711
750313,7503,75,"Suwawa Tengah",0.54446553580442,123.19141925339
750314,7503,75,"Bulango Ulu",0.67871565523876,123.19584695079
750315,7503,75,"Bulango Selatan",0.59079464050862,123.07981044786
750316,7503,75,"Bulango Timur",0.60586187651295,123.10824608946
750317,7503,75,Bulawa,0.37176545516484,123.29651803036
750318,7503,75,Pinogu,0.52574515262327,123.42951974364
750401,7504,75,Popayato,0.53153873695041,121.45182372005
750402,7504,75,Lemito,0.6993780791991,121.57773167829
750403,7504,75,Randangan,0.50949553694139,121.79291406866
750404,7504,75,Marisa,0.47448271012307,121.96100179754
750405,7504,75,Paguat,0.49745842243764,122.05531502442
750406,7504,75,Patilanggio,0.58728254363212,121.90184434921
750407,7504,75,Taluditi,0.78220894660692,121.84028012348
750408,7504,75,Dengilo,0.69744394641057,122.07704959645
750409,7504,75,Buntulia,0.69725729592384,121.98992781746
750410,7504,75,Duhiadaa,0.47266319517584,121.90577331082
750411,7504,75,Wanggarasi,0.71800816399647,121.69033929394
750412,7504,75,"Popayato Timur",0.6922398493985,121.46996453113
750413,7504,75,"Popayato Barat",0.66844081436269,121.32235879263
750501,7505,75,Atinggola,0.82864409766337,123.1476750621
750502,7505,75,Kwandang,0.78228888019772,122.92806587583
750503,7505,75,Anggrek,0.81731732190578,122.77583620776
750504,7505,75,Sumalata,0.95324595799547,122.37601120864
750505,7505,75,Tolinggula,0.96249652519277,122.10044880178
750506,7505,75,"Gentuma Raya",0.86429126947708,123.02473678819
750507,7505,75,Tomolito,0.89367884632293,122.9662589419
750508,7505,75,"Ponelo Kepulauan",0.88088911838228,122.88218118076
750509,7505,75,Monano,0.87863205786156,122.66393071544
750510,7505,75,Biau,0.94732358553522,122.19546972485
750511,7505,75,"Sumalata Timur",0.92689087640927,122.54463304873
757101,7571,75,"Kota Barat",0.54216058345905,123.02436296928
757102,7571,75,"Kota Selatan",0.54393406739888,123.05659688036
757103,7571,75,"Kota Utara",0.56471621826218,123.0796157055
757104,7571,75,Dungingi,0.56056824138134,123.03966286846
757105,7571,75,"Kota Timur",0.54159563736582,123.07060862563
757106,7571,75,"Kota Tengah",0.56268425915472,123.05510863973
757107,7571,75,Sipatana,0.57893402299374,123.06155330493
757108,7571,75,"Dumbo Raya",0.50836826686522,123.07913546043
757109,7571,75,Hulonthalangi,0.51989272183799,123.03991352861
