code,regency_code,province_code,name,latitude,longitude
930101,9301,93,Merauke,-8.5164379872975,140.55337573984
930102,9301,93,Muting,-7.3778195142548,140.35176260317
930103,9301,93,Okaba,-8.0425967969839,139.5615070298
930104,9301,93,Kimaam,-8.086639522699,138.70200674488
930105,9301,93,Semangga,-8.3949905985924,140.37542721885
930106,9301,93,"Tanah Miring",-8.2738580243258,140.58746446152
930107,9301,93,Jagebob,-7.9704193135966,140.73523709053
930108,9301,93,Sota,-8.3071693379339,140.89868330435
930109,9301,93,Ulilin,-7.0650749078854,140.70864536503
930110,9301,93,Elikobal,-7.5596735166371,140.7906394183
930111,9301,93,Kurik,-8.167045541695,140.29501056958
930112,9301,93,Naukenjerai,-8.8268756699736,140.81923117946
930113,9301,93,Animha,-7.9136007373913,140.35683570956
930114,9301,93,Malind,-8.2097510763798,140.11110413012
930115,9301,93,Tubang,-7.8373082784314,139.29845395771
930116,9301,93,Ngguti,-7.5852864731753,139.61815627943
930117,9301,93,Kaptel,-7.646042015362,139.9981177868
930118,9301,93,Tabonji,-7.626205960036,138.41907283467
930119,9301,93,Waan,-8.2852676140019,137.89037932437
930120,9301,93,Ilwayab,-7.4601522226552,139.10906430495
930121,9301,93,Padua,-7.6424504967377,138.80924372397
930122,9301,93,Kontuar,-8.013029158517,138.11245963985
930201,9302,93,Mandobo,-6.0685903857404,140.3856366997
930202,9302,93,Mindiptana,-5.8765344856231,140.74343896898
930203,9302,93,Waropko,-5.514400880684,140.8661386349
930204,9302,93,Kouh,-5.791001941926,140.11774056389
930205,9302,93,Jair,-6.4713897709288,140.51809574737
930206,9302,93,Bomakia,-5.7720263748498,139.87946640361
930207,9302,93,Kombut,-5.8798609569308,140.90200671394
930208,9302,93,Iniyandit,-5.7621913649775,140.6365052224
930209,9302,93,Arimop,-5.6934901899624,140.47293869857
930210,9302,93,Fofi,-6.1449911717617,139.93009065042
930211,9302,93,Ambatkwi,-5.4072076331838,140.66829490576
930212,9302,93,Manggelum,-5.2605088099569,140.36313930847
930213,9302,93,Firiwage,-5.3604096534843,140.16264940075
930214,9302,93,Yaniruma,-5.421955063572,139.87760456707
930215,9302,93,Subur,-6.8841731051037,140.44077031835
930216,9302,93,Kombay,-5.462876926911,139.96665753531
930217,9302,93,Ninati,-5.6863705920911,140.9080644201
930218,9302,93,Sesnuk,-6.1906646161792,140.84817331854
930219,9302,93,Ki,-6.5307025787889,140.09255311003
930220,9302,93,Kawagit,-5.6182534478945,140.21755511372
930301,9303,93,Obaa,-6.5143214608088,139.39695974044
930302,9303,93,"Mambioman Bapai",-6.9351234888342,139.03956789148
930303,9303,93,Citak-Mitak,-5.7578477097962,139.38883167704
930304,9303,93,Edera,-7.2000706280211,139.5855986668
930305,9303,93,Haju,-6.2833256454678,139.02707592092
930306,9303,93,Assue,-5.9399634508172,139.11755804429
930307,9303,93,Kaibar,-5.8314229648387,139.72178205885
930308,9303,93,Passue,-6.374447893194,139.65088455552
930309,9303,93,Minyamur,-6.6076397097164,138.84023052056
930310,9303,93,Venaha,-6.69849967992,139.91595384988
930311,9303,93,Syahcame,-6.889947307202,139.61239197421
930312,9303,93,Yakomi,-7.0376059961599,139.86578251128
930313,9303,93,Bamgi,-6.91999906396,139.41156889756
930314,9303,93,"Passue Bawah",-6.0113485218036,139.52374600875
930315,9303,93,"Ti Zain",-5.4635511631851,139.64896484828
930401,9304,93,Agats,-5.5465444529441,138.14046612867
930402,9304,93,Atsj,-5.7561364379532,138.6670499855
930403,9304,93,"Sawa Erma",-4.9614834106684,138.36377458311
930404,9304,93,Akat,-5.3340306383098,138.34231146742
930405,9304,93,Fayit,-6.0170753162562,138.44563602593
930406,9304,93,"Pantai Kasuari",-6.2037835746493,138.6162070673
930407,9304,93,Suator,-5.292196936967,139.34561047658
930408,9304,93,Suru-suru,-4.9145503301279,138.90730082389
930409,9304,93,"Kolf Braza",-5.2231178712337,139.51987301793
930410,9304,93,"Unir Sirau",-5.2059295035776,138.42810150669
930411,9304,93,Joerat,-5.3148961851662,138.0137827788
930412,9304,93,"Pulau Tiga",-4.9353940846855,137.97233647913
930413,9304,93,Jetsy,-5.5283523392396,138.32067930823
930414,9304,93,"Der Koumur",-6.2203514534146,138.77654054735
930415,9304,93,Kopay,-6.3409095856469,138.66722267756
930416,9304,93,Safan,-6.3235647533146,138.50855125976
930417,9304,93,Sirets,-5.5652844945608,138.71479601994
930418,9304,93,Ayip,-5.9034370272159,138.64298244349
930419,9304,93,Betcbamu,-5.8295705552136,138.33656883318
930420,9304,93,Joutu,-5.5302786335026,139.37772463893
930421,9304,93,Aswi,-6.0812675599726,138.61554328785
930422,9304,93,Awyu,-6.0170941256187,138.83748305976
930423,9304,93,"Koroway Buluanop",-5.2410783181184,139.7858734598
930424,9304,93,"Tomor Birip",-4.9741004598221,138.74875561713
930425,9304,93,"Sor Ep",-5.2695174527674,138.83342751759
