code,regency_code,province_code,name,latitude,longitude
180104,1801,18,Natar,-5.2649010539495,105.21735306659
180105,1801,18,"Tanjung Bintang",-5.3931324920599,105.39954515538
180106,1801,18,Kalianda,-5.6841681851302,105.58790229088
180107,1801,18,Sidomulyo,-5.5967447311668,105.49640714744
180108,1801,18,Katibung,-5.5351200841095,105.43685037431
180109,1801,18,Penengahan,-5.7525146750353,105.68563183817
180110,1801,18,Palas,-5.6248071829626,105.67068975977
180113,1801,18,"Jati Agung",-5.2879209212673,105.35511150474
180114,1801,18,Ketapang,-5.7430685346052,105.76854023145
180115,1801,18,Sragi,-5.6416856938118,105.75516845945
180116,1801,18,"Raja Basa",-5.9116386596174,105.54184082568
180117,1801,18,Candipuro,-5.529055124285,105.58469088522
180118,1801,18,"Merbau Mataram",-5.4623786647,105.4184023355
180121,1801,18,Bakauheni,-5.8411059084001,105.7217245968
180122,1801,18,"Tanjung Sari",-5.353640095521,105.47806983184
180123,1801,18,"Way Sulan",-5.4783426889184,105.546451739
180124,1801,18,"Way Panji",-5.6011333918771,105.60170154686
180201,1802,18,Kalirejo,-5.2075617193318,104.97497610668
180202,1802,18,"Bangun Rejo",-5.1299683613795,105.02924036755
180203,1802,18,"Padang Ratu",-5.0633056980171,104.96140099249
180204,1802,18,"Gunung Sugih",-4.9889381177724,105.21575066763
180205,1802,18,Trimurjo,-5.1190834875388,105.25357538997
180206,1802,18,Punggur,-5.0296508412799,105.27455373133
180207,1802,18,"Terbanggi Besar",-4.8806297405138,105.23016838831
180208,1802,18,"Seputih Raman",-4.9026856580126,105.3669154331
180209,1802,18,Rumbia,-4.7634577071787,105.57924202277
180210,1802,18,"Seputih Banyak",-4.8512869135314,105.48387347975
180211,1802,18,"Seputih Mataram",-4.8008558548677,105.35130647599
180212,1802,18,"Seputih Surabaya",-4.6786095079955,105.63899563819
180213,1802,18,"Terusan Nunyai",-4.7089337502658,105.21815701571
180214,1802,18,"Bumi Ratu Nuban",-5.0878896132183,105.20762670364
180215,1802,18,Bekri,-5.1006802714135,105.13260630145
180216,1802,18,"Seputih Agung",-4.9399885822635,105.12962744005
180217,1802,18,"Way Pangubuan",-4.8344096070715,105.16509226113
180218,1802,18,"Bandar Mataram",-4.6130902367115,105.51067536263
180219,1802,18,Pubian,-5.0920652988371,104.86715815024
180220,1802,18,"Selagai Lingga",-5.0762772840062,104.74494950035
180221,1802,18,"Anak Tuha",-5.0185935811224,105.05917577934
180222,1802,18,"Sendang Agung",-5.1859182215353,104.880874255
180223,1802,18,"Kota Gajah",-5.0064904187562,105.32007522485
180224,1802,18,"Bumi Nabung",-4.6840137239746,105.55543024178
180225,1802,18,"Way Seputih",-4.8050747140539,105.45326941254
180226,1802,18,"Bandar Surabaya",-4.6975131848783,105.74963510429
180227,1802,18,"Anak Ratu Aji",-4.953222022105,104.95290858426
180228,1802,18,"Putra Rumbia",-4.8240819102601,105.58840919425
180301,1803,18,"Bukit Kemuning",-4.9290597292601,104.55294507446
180302,1803,18,Kotabumi,-4.8254060869282,104.84702216752
180303,1803,18,"Sungkai Selatan",-4.7124590544694,104.7955944279
180304,1803,18,"Tanjung Raja",-4.9700049247009,104.64643735961
180305,1803,18,"Abung Timur",-4.7457232708534,104.97596279663
180306,1803,18,"Abung Barat",-4.8555725700943,104.70455260469
180307,1803,18,"Abung Selatan",-4.8965311846724,104.92966990667
180308,1803,18,"Sungkai Utara",-4.6143853525864,104.7595380288
180309,1803,18,"Kotabumi Utara",-4.7487055272084,104.86123828129
180310,1803,18,"Kotabumi Selatan",-4.8929756987343,104.87022503066
180311,1803,18,"Abung Tengah",-4.9375358332945,104.74537532688
180312,1803,18,"Abung Tinggi",-4.8790793700002,104.61618301889
180313,1803,18,"Abung Semuli",-4.8060211574735,105.04969878149
180314,1803,18,"Abung Surakarta",-4.7064516455884,105.02853910143
180315,1803,18,"Muara Sungkai",-4.6043460577182,104.9623668274
180316,1803,18,"Bunga Mayang",-4.5926837080404,104.87854435301
180317,1803,18,"Hulu Sungkai",-4.6507111042312,104.67241927183
180318,1803,18,"Sungkai Tengah",-4.7206673566018,104.70145853903
180319,1803,18,"Abung Pekurun",-5.0128415894808,104.7274165348
180320,1803,18,"Sungkai Jaya",-4.8034133482484,104.75511441358
180321,1803,18,"Sungkai Barat",-4.7815378453996,104.68518001161
180322,1803,18,"Abung Kunang",-4.8932757519925,104.81018613898
180323,1803,18,"Blambangan Pagar",-4.8879423967331,105.02499932097
180404,1804,18,"Balik Bukit",-5.0235016033778,104.07440006925
180405,1804,18,"Sumber Jaya",-4.993378838282,104.45970408677
180406,1804,18,Belalau,-4.9526662664837,104.19559213763
180407,1804,18,"Way Tenong",-5.0486062803198,104.3730696711
180408,1804,18,Sekincau,-5.0489437877888,104.29906630817
180409,1804,18,Suoh,-5.285115900136,104.3055466992
180410,1804,18,"Batu Brak",-5.0585660128294,104.16950497576
180411,1804,18,Sukau,-4.9472886302929,104.04199166752
180415,1804,18,"Gedung Surian",-5.1007561879158,104.4819072826
180418,1804,18,"Kebun Tebu",-5.0558257896768,104.53985479981
180419,1804,18,"Air Hitam",-5.1240526646549,104.40405643033
180420,1804,18,"Pagar Dewa",-4.9288808434093,104.35594664179
180421,1804,18,"Batu Ketulis",-5.0104951872528,104.2500774716
180422,1804,18,"Lumbok Seminung",-4.934754276803,103.90864048203
