code,province_code,name,latitude,longitude
1801,18,"Kab. Lampung Selatan",-5.5299269340048,105.50120014048
1802,18,"Kab. Lampung Tengah",-4.8563027712156,105.27207781856
1803,18,"Kab. Lampung Utara",-4.7967787177076,104.80737472768
1804,18,"Kab. Lampung Barat",-5.0505688202354,104.25297641678
1805,18,"Kab. Tulang Bawang",-4.3731659398624,105.52759124609
1806,18,"Kab. Tanggamus",-5.4280858113227,104.67406085644
1807,18,"Kab. Lampung Timur",-5.1313338922448,105.64898947996
1808,18,"Kab. Way Kanan",-4.514283477697,104.60616276999
1809,18,"Kab. Pesawaran",-5.4734843036879,105.11519242273
1810,18,"Kab. Pringsewu",-5.3363609143366,104.9334051706
1811,18,"Kab. Mesuji",-4.0248419852016,105.3783745759
1812,18,"Kab. Tulang Bawang Barat",-4.4257041175308,105.08743965873
1813,18,"Kab. Pesisir Barat",-5.3355305552853,104.16283965329
1871,18,"Kota Bandar Lampung",-5.4141971799859,105.26213192728
1872,18,"Kota Metro",-5.1172951697039,105.30795827899
