code,province_code,name,latitude,longitude
1101,11,"Kab. Aceh Selatan",3.1618538408941,97.436517718652
1102,11,"Kab. Aceh Tenggara",3.368931368635,97.697597165445
1103,11,"Kab. Aceh Timur",4.6304405086759,97.626085380544
1104,11,"Kab. Aceh Tengah",4.5198880810135,96.881305196756
1105,11,"Kab. Aceh Barat",4.4544678768165,96.18087911995
1106,11,"Kab. Aceh Besar",5.3801045029943,95.515168200322
1107,11,"Kab. Pidie",5.053555789,96.03342837399
1108,11,"Kab. Aceh Utara",5.0157764990522,97.181809295126
1109,11,"Kab. Simeulue",2.6128279748412,96.086260279906
1110,11,"Kab. Aceh Singkil",2.347969739135,97.845056545804
1111,11,"Kab. Bireuen",5.093825519117,96.607035097414
1112,11,"Kab. Aceh Barat Daya",3.8226302105856,96.880294719454
1113,11,"Kab. Gayo Lues",3.9826936358697,97.360086362515
1114,11,"Kab. Aceh Jaya",4.8324247495591,95.678089322774
1115,11,"Kab. Nagan Raya",4.1642396412601,96.507686294664
1116,11,"Kab. Aceh Tamiang",4.2244941505905,97.982993117186
1117,11,"Kab. Bener Meriah",4.7700537375116,97.004117953797
1118,11,"Kab. Pidie Jaya",5.1247443389374,96.213331219483
1171,11,"Kota Banda Aceh",5.5587044038824,95.327713458265
1172,11,"Kota Sabang",5.8377606748474,95.305719818201
1173,11,"Kota Lhokseumawe",5.1652668392354,97.11119932283
1174,11,"Kota Langsa",4.4818194637885,97.980596062047
1175,11,"Kota Subulussalam",2.7307402024954,97.936016001403
