code,province_code,name,latitude,longitude
5201,52,"Kab. Lombok Barat",-8.6654680429361,116.09345744567
5202,52,"Kab. Lombok Tengah",-8.7221470114935,116.28983887404
5203,52,"Kab. Lombok Timur",-8.5323241193326,116.53081208389
5204,52,"Kab. Sumbawa",-8.7032981225978,117.48426111079
5205,52,"Kab. Dompu",-8.4722244928864,118.21686473283
5206,52,"Kab. Bima",-8.4748066344905,118.61901683988
5207,52,"Kab. Sumbawa Barat",-8.8302881469536,116.9144283277
5208,52,"Kab. Lombok Utara",-8.3488937389483,116.28292084054
5271,52,"Kota Mataram",-8.5901543822249,116.11095859047
5272,52,"Kota Bima",-8.4548682393442,118.78210646272
