code,regency_code,province_code,name,latitude,longitude,coordinates
110101,1101,11,Bakongan,,,null
110504,1105,11,Woyla,,,null
110508,1105,11,"Pante Ceureumen",,,null
110719,1107,11,Tangse,,,null
111102,1111,11,Jeunieb,,,null
111705,1117,11,Bukit,,,null
111806,1118,11,"Bandar Baru",,,null
117104,1171,11,"Syiah Kuala",,,null
110615,1106,11,"Kota Jantho",,,null
110812,1108,11,"Tanah Luas",,,null
110817,1108,11,"Cot Girek",,,null
110909,1109,11,"Teupah Tengah",,,null
111208,1112,11,Jeumpa,,,null
111406,1114,11,Panga,,,null
111710,1117,11,"Gajah Putih",,,null
110314,1103,11,"Idi Tunong",,,null
110421,1104,11,"Rusip Antara",,,null
111203,1112,11,Manggeng,,,null
110614,1106,11,"Lembah Seulawah",,,null
110623,1106,11,"Blang Bintang",,,null
110910,1109,11,"Simeulue Cut",,,null
111117,1111,11,"Kuta Blang",,,null
111307,1113,11,"Puteri Betung",,,null
117403,1174,11,"Langsa Kota",,,null
110110,1101,11,"Pasi Raja",,,null
110323,1103,11,"Idi Timur",,,null
110408,1104,11,Bintang,,,null
110906,1109,11,"Simeulue Barat",,,null
110908,1109,11,Alapan,,,null
111308,1113,11,"Dabun Gelang",,,null
111609,1116,11,"Banda Mulia",,,null
110205,1102,11,Badar,,,null
110311,1103,11,"Pante Bidari",,,null
110718,1107,11,"Simpang Tiga",,,null
110725,1107,11,Grong-grong,,,null
110731,1107,11,Titeue,,,null
111112,1111,11,Peulimbang,,,null
110114,1101,11,"Kluet Timur",,,null
110722,1107,11,Keumala,,,null
110724,1107,11,"Mutiara Timur",,,null
110826,1108,11,"Banda Baro",,,null
111004,1110,11,Singkil,,,null
111403,1114,11,"Setia Bhakti",,,null
111409,1114,11,"Pasie Raya",,,null
110204,1102,11,Babussalam,,,null
110206,1102,11,"Babul Makmur",,,null
110503,1105,11,"Sungai Mas",,,null
110706,1107,11,"Geulumpang Tiga",,,null
110708,1107,11,"Kembang Tanjong",,,null
111013,1110,11,Singkohor,,,null
111103,1111,11,Peudada,,,null
111207,1112,11,Setia,,,null
111404,1114,11,Sampoiniet,,,null
111408,1114,11,"Darul Hikmah",,,null
111510,1115,11,"Beutong Ateuh Banggalang",,,null
111707,1117,11,"Timang gajah",,,null
111802,1118,11,Ulim,,,null
117107,1171,11,"Banda Raya",,,null
117302,1173,11,"Banda Sakti",,,null
117402,1174,11,"Langsa Barat",,,null
110304,1103,11,"Birem Bayeun",,,null
110419,1104,11,"Jagong Jeget",,,null
110509,1105,11,Meureubo,,,null
110606,1106,11,Sukamakmur,,,null
110811,1108,11,"Syamtalira Bayu",,,null
110905,1109,11,"Teluk Dalam",,,null
111001,1110,11,"Pulau Banyak",,,null
111010,1110,11,"Singkil Utara",,,null
111114,1111,11,Kuala,,,null
111706,1117,11,"Wih Pesam",,,null
117106,1171,11,"Kuta Raja",,,null
110109,1101,11,Trumon,,,null
110111,1101,11,"Labuhan Haji Timur",,,null
110306,1103,11,Nurussalam,,,null
110804,1108,11,Lhoksukon,,,null
110809,1108,11,Seunuddon,,,null
111109,1111,11,Juli,,,null
111405,1114,11,Jaya,,,null
117501,1175,11,"Simpang Kiri",,,null
117505,1175,11,Longkib,,,null
110417,1104,11,"Laut Tawar",,,null
110604,1106,11,Seulimeum,,,null
110618,1106,11,"Simpang Tiga",,,null
110619,1106,11,"Darul Kamal",,,null
110621,1106,11,"Krueng Barona Jaya",,,null
110801,1108,11,Baktiya,,,null
110802,1108,11,Dewantara,,,null
111011,1110,11,"Danau Paris",,,null
111110,1111,11,Jangka,,,null
111209,1112,11,"Lembah Sabil",,,null
111504,1115,11,Beutong,,,null
111701,1117,11,"Pintu Rime Gayo",,,null
111808,1118,11,Trienggadeng,,,null
117503,1175,11,Rundeng,,,null
110321,1103,11,"Darul Ihsan",,,null
110322,1103,11,"Darul Falah",,,null
110324,1103,11,Peunaron,,,null
110506,1105,11,Bubon,,,null
110613,1106,11,"Pulo Aceh",,,null
110715,1107,11,"Peukan Baro",,,null
110805,1108,11,Matangkuli,,,null
110808,1108,11,Samudera,,,null
117102,1171,11,"Kuta Alam",,,null
117108,1171,11,"Jaya Baru",,,null
110104,1101,11,"Labuhan Haji",,,null
110208,1102,11,"Lawe Bulan",,,null
110713,1107,11,Mutiara,,,null
110819,1108,11,"Baktiya Barat",,,null
111101,1111,11,Samalanga,,,null
111113,1111,11,"Kota Juang",,,null
111503,1115,11,"Seunagan Timur",,,null
111508,1115,11,"Tadu Raya",,,null
111603,1116,11,"Karang Baru",,,null
117105,1171,11,"Lueng Bata",,,null
117201,1172,11,Sukakarya,,,null
117401,1174,11,"Langsa Timur",,,null
110106,1101,11,Samadua,,,null
110216,1102,11,Leuser,,,null
110822,1108,11,"Simpang Kramat",,,null
110901,1109,11,"Simeulue Tengah",,,null
111105,1111,11,Peusangan,,,null
110113,1101,11,"Kluet Tengah",,,null
110201,1102,11,"Lawe Alas",,,null
110301,1103,11,"Darul Aman",,,null
110302,1103,11,Julok,,,null
110315,1103,11,"Banda Alam",,,null
110620,1106,11,Baitussalam,,,null
110806,1108,11,"Muara Batu",,,null
