code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1101012001,110101,1101,11,"Keude Bakongan",,,null
1101032012,110103,1101,11,"Pasi Meurapat",,,null
1101062010,110106,1101,11,"Alur Pinang",,,null
1101072001,110107,1101,11,Sikulat,,,null
1101102007,110110,1101,11,"Ladang Tuha",,,null
1102012001,110201,1102,11,Engkeran,,,null
1102012017,110201,1102,11,"Rih Mbelang",,,null
1102012021,110201,1102,11,"Batu Hamparan",,,null
1102032019,110203,1102,11,"Cinta Damai",,,null
1102052036,110205,1102,11,"Lawe Sekerah",,,null
1102072015,110207,1102,11,"Mamas Baru",,,null
1102082002,110208,1102,11,"Pasir Penjengakan",,,null
1102102008,110210,1102,11,"Lawe. Berigin Gayo",,,null
1102142001,110214,1102,11,"Terutung Megara Lawe Pasaran",,,null
1102152004,110215,1102,11,"Rambah Sayang",,,null
1102162016,110216,1102,11,"Sade Ate",,,null
1103022016,110302,1103,11,Naleung,,,null
1103022029,110302,1103,11,"Ujong Tunong",,,null
1103032006,110303,1103,11,"Kuta Blang",,,null
1103032051,110303,1103,11,"Buket Jok",,,null
1103042005,110304,1103,11,Benteng,,,null
1103062013,110306,1103,11,"Seumatang Aron",,,null
1103072004,110307,1103,11,Leuge,,,null
1103072012,110307,1103,11,"Lhok Dalam",,,null
1103072029,110307,1103,11,"Buket Pala",,,null
1103092006,110309,1103,11,"Matang Rayeuk",,,null
1103112025,110311,1103,11,Sijudo,,,null
1103142014,110314,1103,11,"Blang Minjei",,,null
1103142025,110314,1103,11,"Seuneubok Dalam",,,null
1103162004,110316,1103,11,"Alue Batee",,,null
1103182010,110318,1103,11,"Paya Gajah",,,null
1103192002,110319,1103,11,"Geulumpang Payong",,,null
1103192007,110319,1103,11,"Paya Keutapang",,,null
1104072018,110407,1104,11,Pegasing,,,null
1104072024,110407,1104,11,Tebuk,,,null
1104082024,110408,1104,11,"Gele Pulo",,,null
1104102024,110410,1104,11,"Simpang Juli",,,null
1104112015,110411,1104,11,"Kala Lengkio",,,null
1104132014,110413,1104,11,"Tanoh Depet",,,null
1105062007,110506,1105,11,"Gunong Panah",,,null
1105062008,110506,1105,11,"Kuta Padang",,,null
1105072017,110507,1105,11,"Suak Keumudee",,,null
1105082009,110508,1105,11,Lawet,,,null
1105082020,110508,1105,11,"Lhok Sari",,,null
1105102018,110510,1105,11,"Pasi Mali",,,null
1105122016,110512,1105,11,"Blang Balee",,,null
1106022017,110602,1106,11,"Meunasah Mon Cut",,,null
1106032003,110603,1106,11,"Lam Leubok",,,null
1106062010,110606,1106,11,"Lambaro Sibreh",,,null
1106062019,110606,1106,11,Bukloh,,,null
1106062026,110606,1106,11,"Meunasah Tuha",,,null
