code,regency_code,province_code,name,latitude,longitude
350101,3501,35,Donorojo,-8.1404930625031,110.94607222653
350102,3501,35,Pringkuku,-8.1897303161594,111.03186050173
350103,3501,35,Punung,-8.1172692001586,111.03264212835
350104,3501,35,Pacitan,-8.1853178547309,111.10622486751
350105,3501,35,Kebonagung,-8.220688231199,111.1738542377
350106,3501,35,Arjosari,-8.0961295327547,111.15813739121
350107,3501,35,Nawangan,-7.9882131104183,111.18040864544
350108,3501,35,Bandar,-7.9954256122698,111.2613594622
350109,3501,35,Tegalombo,-8.0576976569323,111.29848631148
350110,3501,35,Tulakan,-8.1636856158806,111.26907386732
350111,3501,35,Ngadirojo,-8.2006930193805,111.32504574234
350112,3501,35,Sudimoro,-8.2233457524592,111.37563525968
350201,3502,35,Slahung,-8.025179851592,111.39847011289
350202,3502,35,Ngrayun,-8.1081592230847,111.44093896532
350203,3502,35,Bungkal,-8.0168364346178,111.46419457204
350204,3502,35,Sambit,-8.0024469304885,111.51512985428
350205,3502,35,Sawoo,-7.9815882975929,111.58532741341
350206,3502,35,Sooko,-7.9199249613347,111.65535424638
350207,3502,35,Pulung,-7.8635960252233,111.63742325251
350208,3502,35,Mlarak,-7.9187487868015,111.52393012541
350209,3502,35,Jetis,-7.9422917440746,111.47853458797
350210,3502,35,Siman,-7.8881074175365,111.51014475185
350211,3502,35,Balong,-7.9553564953098,111.40143896317
350212,3502,35,Kauman,-7.8855176065703,111.41450966715
350213,3502,35,Badegan,-7.8966188626221,111.32055228283
350214,3502,35,Sampung,-7.8235847085475,111.3505194063
350215,3502,35,Sukorejo,-7.8263784450197,111.42292927625
350216,3502,35,Babadan,-7.816042874969,111.47696600772
350217,3502,35,Ponorogo,-7.8663010486345,111.46576548152
350218,3502,35,Jenangan,-7.8325118289666,111.54817087265
350219,3502,35,Ngebel,-7.8029576234136,111.64571248872
350220,3502,35,Jambon,-7.9208244243992,111.3732702427
350221,3502,35,Pudak,-7.8592257378675,111.73524761586
350301,3503,35,Panggul,-8.2301416009068,111.45678624723
350302,3503,35,Munjungan,-8.2964776689288,111.57805483833
350303,3503,35,Pule,-8.1169013142636,111.5391211828
350304,3503,35,Dongko,-8.2032600680107,111.56514754979
350305,3503,35,Tugu,-8.0319005363453,111.63597949118
350306,3503,35,Karangan,-8.0796095960892,111.67187605973
350307,3503,35,Kampak,-8.2011367002557,111.6513155669
