code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1201012009,120101,1201,12,"Aek Dakka",,,null
1201031002,120103,1201,12,Hajoran,,,null
1201052004,120105,1201,12,"Pagaran Nauli",,,null
1201091001,120109,1201,12,"Sosor Gadong",,,null
1201092006,120109,1201,12,"Muara Bolak",,,null
1201122010,120112,1201,12,"Ladang Tengah",,,null
1201122012,120112,1201,12,"Bondar Sihudon II",,,null
1201151002,120115,1201,12,Lopian,,,null
1201162004,120116,1201,12,"Pasaribu Tobing",,,null
1201172003,120117,1201,12,"Parik Sinomba",,,null
1202011002,120201,1202,12,"Hutatoruan V",,,null
1202012014,120201,1202,12,"Parbubu Dolok",,,null
1202012027,120201,1202,12,"Jambur Nauli",,,null
1202032008,120203,1202,12,"Adian Koting",,,null
1202092002,120209,1202,12,"Siborong Borong I",,,null
1202102005,120210,1202,12,Sipultak,,,null
1202122012,120212,1202,12,"Tapian Nauli II",,,null
1202132026,120213,1202,12,"Sigotom Dolok Nauli",,,null
1202142009,120214,1202,12,"Gonting Salak",,,null
1203032012,120303,1203,12,Marisi,,,null
1203042075,120304,1203,12,Simaninggir,,,null
1203042085,120304,1203,12,Sialagundi,,,null
1203042107,120304,1203,12,"Batang Tura Julu",,,null
1203042115,120304,1203,12,"Saba Batang Miha",,,null
1203071061,120307,1203,12,"Pintu Padang II",,,null
1203322006,120332,1203,12,"Muara Tais I",,,null
1203322010,120332,1203,12,Pargumbangan,,,null
1204102026,120410,1204,12,"Awoni Lauso",,,null
1204112004,120411,1204,12,Gazamanu,,,null
1204202015,120420,1204,12,Lolofaoso,,,null
1204272010,120427,1204,12,"Sisobahili Ulu Gawo",,,null
1204292001,120429,1204,12,"Sisobawino I",,,null
1205032018,120503,1205,12,"Sido Makmur",,,null
1205042016,120504,1205,12,"Mekar Jaya",,,null
1205082005,120508,1205,12,"Kebun Balok",,,null
1205092008,120509,1205,12,Secanggang,,,null
1205102010,120510,1205,12,"Perkebunan Tanjung Beringin",,,null
1205131001,120513,1205,12,"Pekan Gebang",,,null
1205172014,120517,1205,12,"Harapan Makmur",,,null
1206032006,120603,1206,12,Tangkidik,,,null
1206032014,120603,1206,12,Bulanjulu,,,null
1206062002,120606,1206,12,Munte,,,null
1206062019,120606,1206,12,"Gunung Saribu",,,null
1206172004,120617,1206,12,Kutambaru,,,null
1207032005,120703,1207,12,Bengkurung,,,null
1207032023,120703,1207,12,Sembahe,,,null
1207052001,120705,1207,12,"Bintang Meriah",,,null
1207052010,120705,1207,12,Tengah,,,null
1207062018,120706,1207,12,"Batu Penjemuran",,,null
1207072006,120707,1207,12,Mbaruai,,,null
1207092025,120709,1207,12,Sialang,,,null
1207202004,120720,1207,12,"Liang Muda",,,null
1207221005,120722,1207,12,"Deli Tua Timur",,,null
1207222001,120722,1207,12,"Kedai Durian",,,null
1207262016,120726,1207,12,"Cinta Damai",,,null
1207272009,120727,1207,12,"Paya Gambar",,,null
1207282002,120728,1207,12,"Pagar Jati",,,null
1207312005,120731,1207,12,"Jati Rejo",,,null
1207312008,120731,1207,12,"Sidoharjo-I Pasar Miring",,,null
1208022006,120802,1208,12,Silulu,,,null
1208032002,120803,1208,12,"Karang Anyer",,,null
1208052006,120805,1208,12,"Talun Kondot",,,null
1208062003,120806,1208,12,"Jorlang Hataran",,,null
1208062013,120806,1208,12,Parmonangan,,,null
1208082003,120808,1208,12,Boluk,,,null
1208082016,120808,1208,12,"Mekar Rejo",,,null
1208112009,120811,1208,12,"Muara Mulia",,,null
1208152002,120815,1208,12,"Nagori Sihalpe",,,null
1208172009,120817,1208,12,"Dolok Merangir II",,,null
1208192005,120819,1208,12,"Tanjung Maraja",,,null
1208232007,120823,1208,12,"Pardagangan II",,,null
1208262012,120826,1208,12,"Silau Marawan",,,null
1208262014,120826,1208,12,"Ujung Bawang",,,null
1208272004,120827,1208,12,"Bandar Maruhur",,,null
1208282008,120828,1208,12,"Pematang Dolok Kahean",,,null
1208302014,120830,1208,12,"Siringan Ringan",,,null
1208312010,120831,1208,12,"Bandar Saribu",,,null
1209082002,120908,1209,12,Meranti,,,null
1209112015,120911,1209,12,Perbangunan,,,null
1209132014,120913,1209,12,"Hessa Air Genting",,,null
1209142003,120914,1209,12,"Pulau Rakyat Pekan",,,null
1209152016,120915,1209,12,"Perkebunan Padang Pulau",,,null
1209162001,120916,1209,12,Ambalutu,,,null
1209242002,120924,1209,12,"Sei Jawi-Jawi",,,null
1209312005,120931,1209,12,"Pulau Tanjung",,,null
1209312006,120931,1209,12,"Mekar Tanjung",,,null
1210081002,121008,1210,12,"Negeri Baru",,,null
1210082009,121008,1210,12,"Selat Besar",,,null
1211011010,121101,1211,12,Sidikalang,,,null
1211022010,121102,1211,12,"Pagagan Julu II",,,null
1211072010,121107,1211,12,Sigambir-gambir,,,null
1211082001,121108,1211,12,"Lae Itam",,,null
1211082008,121108,1211,12,"Sopo Butar",,,null
1211142005,121114,1211,12,"Paropo I",,,null
1212022003,121202,1212,12,"Sintong Marnipi",,,null
1212022019,121202,1212,12,Sitoluama,,,null
1212032027,121203,1212,12,Sibide,,,null
1212042023,121204,1212,12,Sibuntuon,,,null
1212052003,121205,1212,12,"Meranti Tengah",,,null
1212062013,121206,1212,12,"Lumban Sewa",,,null
1212102008,121210,1212,12,"Sigaol Barat",,,null
1212202005,121220,1212,12,"Narumonda V",,,null
1212212006,121221,1212,12,"Liat Tondung",,,null
1212232004,121223,1212,12,Harungguan,,,null
1212242006,121224,1212,12,Pangombusan,,,null
1213072013,121307,1213,12,"Lambou Darul Ihsan",,,null
1213092004,121309,1213,12,"Maga Dolok",,,null
1213122012,121312,1213,12,"Ranjo Batu",,,null
1213142031,121314,1213,12,"Bonca Bayuon",,,null
1213142033,121314,1213,12,"Padang Silojongan",,,null
1213162006,121316,1213,12,Panggautan,,,null
1213172013,121317,1213,12,"Lubuk Kapundung II",,,null
1214072012,121407,1214,12,Lolozaria,,,null
1214102015,121410,1214,12,"Bawohosi Maniamolo",,,null
1214132005,121413,1214,12,"Hilizoroi Lawa",,,null
1214162005,121416,1214,12,Bais,,,null
1214182021,121418,1214,12,"Hilifarokha Lawa",,,null
1214222001,121422,1214,12,"Fadoro Ewo",,,null
1214242002,121424,1214,12,"Orudua Sibohou",,,null
