code,district_code,regency_code,province_code,name,postal_code,latitude,longitude,coordinates
5301042003,530104,5301,53,Bokonusan,85352,,,null
5301042004,530104,5301,53,Otan,85352,,,null
5301042005,530104,5301,53,Uitao,85352,,,null
5301042006,530104,5301,53,Uiasa,85352,,,null
5301042008,530104,5301,53,Hansisi,85352,,,null
5301042009,530104,5301,53,Huilelot,85352,,,null
5301042011,530104,5301,53,Batuinan,85352,,,null
5301042013,530104,5301,53,Letbaun,85352,,,null
5301051001,530105,5301,53,Oenesu,85351,,,null
5301051002,530105,5301,53,Batakte,85351,,,null
5301052003,530105,5301,53,"Manulai I",85351,,,null
5301052004,530105,5301,53,Sumlili,85351,,,null
5301052005,530105,5301,53,Lifuleo,85351,,,null
5301052006,530105,5301,53,Tesabela,85351,,,null
5301052007,530105,5301,53,Oematnunu,85351,,,null
5301052008,530105,5301,53,Kuanheun,85351,,,null
5301052009,530105,5301,53,Nitneo,85351,,,null
5301052010,530105,5301,53,Bolok,85351,,,null
5301052011,530105,5301,53,Tablolong,85351,,,null
5301052012,530105,5301,53,Oenaek,85351,,,null
5301061001,530106,5301,53,Babau,85362,,,null
5301061003,530106,5301,53,Naibonat,85362,,,null
5301061004,530106,5301,53,Oesao,85362,,,null
5301061005,530106,5301,53,Merdeka,85362,,,null
5301061008,530106,5301,53,Tuatuka,85362,,,null
5301062002,530106,5301,53,Nunkurus,85362,,,null
5301062006,530106,5301,53,Tuapukan,85362,,,null
5301062007,530106,5301,53,Oefafi,85362,,,null
5301062011,530106,5301,53,Pukdale,85362,,,null
5301062015,530106,5301,53,Oesao,85362,,,null
5301062016,530106,5301,53,Manusak,85362,,,null
5301062017,530106,5301,53,"Tanah Putih",85362,,,null
5301062018,530106,5301,53,Oelatimo,85362,,,null
5301071001,530107,5301,53,Sulamu,85368,,,null
5301072002,530107,5301,53,Pitai,85368,,,null
5301072003,530107,5301,53,Pariti,85368,,,null
5301072004,530107,5301,53,Oeteta,85368,,,null
5301072005,530107,5301,53,Bipolo,85368,,,null
5301072006,530107,5301,53,"Pantai Beringin",85368,,,null
5301072007,530107,5301,53,Pantulan,85368,,,null
5301081007,530108,5301,53,Tarus,85361,,,null
5301082006,530108,5301,53,Oelnasi,85361,,,null
5301082008,530108,5301,53,Noelbaki,85361,,,null
5301082009,530108,5301,53,Oelpuah,85361,,,null
5301082010,530108,5301,53,Oebelo,85361,,,null
5301082011,530108,5301,53,"Penfui Timur",85361,,,null
5301082012,530108,5301,53,"Tanah Merah",85361,,,null
5301082013,530108,5301,53,"Mata Air",85361,,,null
5301091002,530109,5301,53,Nonbes,85367,,,null
5301092001,530109,5301,53,Oesena,85367,,,null
5301092003,530109,5301,53,Ponain,85367,,,null
5301092004,530109,5301,53,Kotabes,85367,,,null
5301092005,530109,5301,53,Tesbatan,85367,,,null
5301092006,530109,5301,53,Oenoni,85367,,,null
5301092007,530109,5301,53,Apren,85367,,,null
5301092008,530109,5301,53,"Oenoni II",85367,,,null
5301092009,530109,5301,53,"Tesbatan II",85367,,,null
5301101001,530110,5301,53,"Camplong I",85371,,,null
5301102007,530110,5301,53,"Camplong II",85371,,,null
5301102008,530110,5301,53,Naunnu,85371,,,null
5301102009,530110,5301,53,Oebola,85371,,,null
5301102010,530110,5301,53,Sillu,85371,,,null
5301102011,530110,5301,53,Ekateta,85371,,,null
5301102012,530110,5301,53,Kuimasi,85371,,,null
5301102013,530110,5301,53,Tolnaku,85371,,,null
5301102014,530110,5301,53,"Oebola Dalam",85371,,,null
5301102015,530110,5301,53,Kiuoni,85371,,,null
5301111007,530111,5301,53,Takari,85369,,,null
5301112001,530111,5301,53,Noelmina,85369,,,null
5301112002,530111,5301,53,Benu,85369,,,null
5301112003,530111,5301,53,Hueknutu,85369,,,null
5301112004,530111,5301,53,Oelnaineno,85369,,,null
5301112005,530111,5301,53,Tanini,85369,,,null
5301112006,530111,5301,53,Kauniki,85369,,,null
5301112008,530111,5301,53,Tuapanaf,85369,,,null
5301112009,530111,5301,53,Fatukona,85369,,,null
5301112010,530111,5301,53,Oesusu,85369,,,null
5301121003,530112,5301,53,Lelogama,85373,,,null
5301122001,530112,5301,53,Fatusuki,85373,,,null
5301122002,530112,5301,53,Oelbanu,85373,,,null
5301122004,530112,5301,53,Fatumetan,85373,,,null
5301122005,530112,5301,53,Oh'aem,85373,,,null
5301122008,530112,5301,53,Leloboko,85373,,,null
5301122011,530112,5301,53,"Oh'aem II",85373,,,null
5301131002,530113,5301,53,Naikliu,85365,,,null
5301132001,530113,5301,53,Afoan,85365,,,null
5301132003,530113,5301,53,Fatunaus,85365,,,null
5301132004,530113,5301,53,Kolabe,85365,,,null
5301132005,530113,5301,53,Bakuin,85365,,,null
5301132010,530113,5301,53,Lilmus,85365,,,null
5301162001,530116,5301,53,Oelomin,85390,,,null
5301162002,530116,5301,53,Tasikona,85390,,,null
5301162003,530116,5301,53,Oemasi,85390,,,null
5301162004,530116,5301,53,"Usapi Sonbai",85390,,,null
