code,province_code,name,latitude,longitude
8101,81,"Kab. Maluku Tengah",-3.304264818951,128.95408633797
8102,81,"Kab. Maluku Tenggara",-5.6829165454724,132.71727708819
8103,81,"Kab. Kepulauan Tanimbar",-7.9701155082088,131.31226505726
8104,81,"Kab. Buru",-3.2591745680269,127.10278183792
8105,81,"Kab. Seram Bagian Timur",-3.1037496950256,130.48860760646
8106,81,"Kab. Seram Bagian Barat",-3.0666633302293,128.23003905355
8107,81,"Kab. Kepulauan Aru",-5.7751777755578,134.21458787827
8108,81,"Kab. Maluku Barat Daya",-8.1480383241235,127.80155024638
8109,81,"Kab. Buru Selatan",-3.8377899371827,126.73425882891
8171,81,"Kota Ambon",-3.6943237268737,128.18130335609
8172,81,"Kota Tual",-5.634680537674,132.75172074301
