code,regency_code,province_code,name,latitude,longitude,coordinates
650304,6503,65,Lumbis,,,null
650307,6503,65,"Krayan Selatan",,,null
650315,6503,65,"Lumbis Ogong",,,null
650202,6502,65,"Malinau Kota",,,null
650402,6504,65,"Sesayap Hilir",,,null
650205,6502,65,"Kayan Hulu",,,null
650213,6502,65,"Malinau Selatan Hilir",,,null
650106,6501,65,"Tanjung Palas Tengah",,,null
650313,6503,65,"Sei Menggaris",,,null
650108,6501,65,"Peso Hilir",,,null
650317,6503,65,"Krayan Tengah",,,null
650318,6503,65,"Krayan Timur",,,null
650301,6503,65,Sebatik,,,null
650401,6504,65,Sesayap,,,null
650109,6501,65,Sekatak,,,null
650204,6502,65,"Kayan Hilir",,,null
650201,6502,65,Mentarang,,,null
650311,6503,65,"Sebatik Utara",,,null
650110,6501,65,Bunyu,,,null
650306,6503,65,Sebuku,,,null
650312,6503,65,"Sebatik Tengah",,,null
650403,6504,65,"Tana Lia",,,null
650215,6502,65,"Sungai Tubu",,,null
650309,6503,65,"Nunukan Selatan",,,null
657104,6571,65,"Tarakan Utara",,,null
650103,6501,65,"Tanjung Palas Utara",,,null
650302,6503,65,Nunukan,,,null
650314,6503,65,"Tulin Onsoi",,,null
650303,6503,65,Sembakung,,,null
650404,6504,65,Betayau,,,null
657102,6571,65,"Tarakan Tengah",,,null
650206,6502,65,"Malinau Selatan",,,null
650305,6503,65,Krayan,,,null
650405,6504,65,"Muruk Rian",,,null
657103,6571,65,"Tarakan Timur",,,null
650208,6502,65,"Malinau Barat",,,null
650308,6503,65,"Sebatik Barat",,,null
650310,6503,65,"Sebatik Timur",,,null
650104,6501,65,"Tanjung Palas Timur",,,null
650319,6503,65,"Krayan Barat",,,null
650105,6501,65,"Tanjung Selor",,,null
650214,6502,65,"Malinau Selatan Hulu",,,null
650101,6501,65,"Tanjung Palas",,,null
650107,6501,65,Peso,,,null
650210,6502,65,"Kayan Selatan",,,null
650211,6502,65,"Bahau Hulu",,,null
650212,6502,65,"Mentarang Hulu",,,null
650321,6503,65,"Lumbis Hulu",,,null
650203,6502,65,Pujungan,,,null
650316,6503,65,"Sembakung Atulai",,,null
650320,6503,65,"Lumbis Pansiangan",,,null
657101,6571,65,"Tarakan Barat",,,null
650207,6502,65,"Malinau Utara",,,null
650102,6501,65,"Tanjung Palas Barat",,,null
650209,6502,65,"Sungai Boh",,,null
